# 8万精准超小词库
# 原始出处未知，多音字注音移除，第一个词“是的这个”改成“是的”
# https://github.com/studyzy/imewlconverter/blob/master/参考/8万精准超小词库.txt
#
# 词语	多音字备注

推行	行xing
不多	
将对	
开设	
截至	
随身	
传奇	传chuan|奇qi
备注	
高于	
录音	
掌上	
敏感	
光驱	
多彩	
你不	
你会	会hui
此时	
珠海	
来电	
在家	家jia
店铺	
暴力	暴bao
产值	
危机	
维持	
多数	数shu
属性	属shu
解读	解jie|读du
商贸	
治安	
大地	大da|地di
便利	便bian
笑话	
后果	
支付	
也将	
各界	
在内	
配备	
祖国	
气候	
各大	大da
到来	
领取	
随你	
卖场	
教程	
意识	识shi
总统	
反复	
隐私	
后面	
加以	
跟踪	
作业	
诸多	
南宁	南nan
迹象	
带有	
报纸	
激光	
想象	
外商	
科教	
极大	大da
路上	
督促	
研制	
从来	
之旅	
手术	术shu
专科	
对该	
并能	
亮点	
特定	
奇迹	奇qi
村民	
发货	
全区	区qu
主编	
强制	强qiang
记住	
有更	
高潮	
全程	
加油	
理财	
以往	
纠纷	
流量	
素材	
失眠	
西方	
赠送	
舞台	
激励	
黄色	色se
复印	
压缩	缩suo
将来	
英寸	
港澳	
城乡	
新区	区qu
栽培	
接待	
攻击	
整改	
身为	
闪存	
看见	见jian
约定	约yue
较强	强qiang
一路	
进去	
景观	
工委	
协办	
你在	
承包	
斜体	
辉煌	
教唆	
点播	
灾害	
职场	
定价	价jia
约束	约yue
百度	百bai|度du
东莞	莞guan
转化	转zhuan
还将	还hai
毕竟	
圆满	
乡村	
已被	
家长	家jia|长zhang
将是	
负担	
扶贫	
农户	
上次	
六年	六liu
作风	
对面	
参照	参can
本版	
想起	
进来	
一座	
实习	
我很	
初级	
大于	大da
变动	
看着	着zhe
小型	
我省	省sheng
送货	
不见	见jian
学报	
人的	的de
周期	期qi
后期	期qi
佛山	佛fo
预期	期qi
访客	
奠定	
生成	
录取	
这就	这zhe
载体	
价位	价jia
大约	大da|约yue
一线	
含量	
可行	行xing
疗法	
而在	
党建	
美的	的de
总量	
主导	
总计	
人心	
他是	
打工	
过客	
套装	
细胞	
视觉	觉jue
某种	种zhong
拨打	
印度	度du
效应	
发起	
内置	
多家	家jia
人工	
动员	员yuan
住了	了le
道理	
卓越	
演讲	
要从	
阿牛	阿a
按钮	
展现	
警惕	
境外	
要素	
威信	
文摘	
毫秒	
土壤	
新房	房fang
对待	
供货	
麻烦	
模块	模mo
感染	
开创	
不出	
共建	
舒适	适shi
两大	大da
防护	
你好	
节能	
评审	
几点	
专卖	
才行	行xing
站务	
局部	
人均	
冲突	
产地	地di
愿望	
告知	
徐州	
特产	
不清	
滋味	
粮食	食shi
不开	
多项	
倡导	
小小	
拆迁	拆chai
暑期	期qi
月内	
神经	
农机	
神秘	秘mi
给您	给gei
乃至	
占地	地di
侵害	
航天	
落后	落luo
比重	重zhong
这一	这zhe
据悉	
活跃	
瞬间	
到达	
书画	
石头	石shi
是谁	谁shei
是谁	谁shui
你要	
尴尬	
春天	
农林	
用来	
称号	称cheng
发明	
潮流	
顺序	
持有	
要点	
化妆	
说了	说shuo|了le
语音	
彩票	
超越	
陆续	陆lu
之下	
透明	
高端	
诞生	
在他	
商铺	
交纳	
缴纳	缴jiao
协商	
十多	
节省	省sheng
锻炼	
夏季	
代言	
亲自	亲qin
男子	
您的	的de
散热	
执照	
子女	
玉米	
原始	
新作	
同行	行hang
发动	
成交	
百科	百bai
竟然	
报警	
储备	
样子	
不予	
预警	
你有	
理性	
惠普	
地铁	地di
长远	长chang
单独	单dan
舆论	
种植	种zhong
呼吁	吁yu
艰苦	
献策	
桂林	
原有	
最爱	
缺点	
高分	
春季	
我会	会hui
携带	
户型	
剩余	
太原	
中级	
侵权	
慢慢	
历程	
章程	
重组	重chong
走了	了le
资质	
更改	
六届	六liu
这项	这zhe
三天	
特区	区qu
罚款	
不上	
衣服	
终端	
明基	
人间	
字节	
威望	
一届	
当中	
出色	色se
不限	
戴尔	
既然	
引入	
班子	
谈判	
壮大	大da
荣获	
三分	
睡觉	觉jiao
初中	
依照	
两天	
制约	约yue
家人	家jia
三届	
地面	地di
早期	期qi
完毕	
大图	大da
画面	
找回	
建站	
打算	
信任	
从此	
才有	
大类	大da
过于	
星级	
本书	
最具	
厨房	房fang
会不	会hui
十万	万wan
又不	
违背	
等于	
发点	
纠正	
人人	
房价	房fang|价jia
四条	
过多	
快报	
安置	
合并	合he
菜单	单dan
带领	
控股	
总理	
纪律	
到你	
将有	
引领	
会同	会hui
命运	
相似	似si
燃料	
刻录	
享有	
南昌	南nan
你说	说shuo
稳步	
让您	
一道	
新版	
顶级	
家里	家jia
不愿	
广电	广guang
两人	
你就	
补偿	
某个	
扶持	
中医	
处分	
伴侣	
维权	
防范	
像素	
一等	
激发	
斗争	
里的	的de
授予	
办学	
党校	校xiao
师生	
时空	
境内	
温馨	
学家	家jia
评定	
万亩	万wan
北路	
要对	
我和	和he
但我	
你还	还hai
也没	没mei
真诚	
飞行	行xing
大队	大da
狠抓	
临床	
混合	合he
向上	
图例	
草原	
校友	校xiao
蝴蝶	
支部	
警察	
签署	
为好	
季节	
食物	食shi
进了	了le
前期	期qi
购房	房fang
外交	
平等	
煤炭	
刚要	
龙头	
搞好	
一看	
爱我	
报刊	
解析	解jie
房间	房fang
在职	
图标	
忘了	了le
是他	
担保	
古典	
歌手	
本帖	
这款	这zhe
陌生	
聪明	
遵循	
但这	这zhe
当天	
元素	
同期	期qi
吃饭	
买房	房fang
真心	
陶瓷	陶tao
预告	
热卖	
鲜花	
大批	大da
一对	
忽视	
大战	大da
层面	
但不	
挡住	
上年	
编写	
仪表	
一本	
又要	
出具	
无人	无wu
气温	
绍兴	
台州	
收获	
华北	
初期	期qi
大局	大da
给他	给gei
老鼠	
入门	
我对	
绿化	绿lv
开学	
命令	
份额	
街头	
等地	地di
不高	
大米	大da
能让	
烟台	烟yan
迎接	
把这	这zhe
报表	
一号	
会对	会hui
县城	
种种	种zhong|种zhong
中期	期qi
赌博	
演员	员yuan
养殖	殖zhi
大概	大da
见面	见jian
拿出	
读取	读du
财税	
宝宝	
写作	
痛苦	
设定	
主张	
标记	
养老	
实话	
我家	家jia
租房	房fang
封建	
临沂	
桌面	
社团	
新款	
一览	
缺少	
在京	
联手	
石化	石shi
最早	
流感	
一行	行xing
入学	
调动	调diao
要是	
结算	
氧化	
减肥	
替代	
发票	
接着	着zhe
去看	
付出	
审议	
最长	长chang
两位	
军人	
漫画	
赶紧	
气氛	
增多	
夏天	
餐厅	
用水	
融合	合he
搭配	
股东	
倾向	
欧盟	
蓝牙	
另有	
看出	
绝不	
伦敦	敦dun
而已	
实惠	
而言	
库存	
较多	
性格	
家族	家jia
设为	
多大	大da
伤心	
多名	
无须	无wu
之内	
居然	
开店	
腐败	
才会	会hui
擅自	
万吨	万wan
教你	
几位	
极为	
不懂	
处置	
有钱	
缺陷	
传达	传chuan
血管	血xue
一百	百bai
已在	
远远	
逻辑	
拉开	
声卡	卡ka
场地	地di
五金	
深化	
六个	六liu
最快	
为你	
秒钟	
怀疑	
提到	提ti
或许	
祝贺	
借助	
细致	
残疾	
商场	
冬季	
迷你	
外来	
有序	
严肃	
日程	
民俗	
战斗	
释放	
决赛	
提案	提ti
华人	
轿车	车che
在你	
温暖	
报考	
决心	
多多	
军队	
干扰	
功夫	
不说	说shuo
当你	
兼容	
人性	
开辟	辟pi
好多	
之上	
大庆	大da
颁布	
本质	
二者	
太大	大da
热销	
将为	
富有	
他还	还hai
男士	
大厅	大da
早在	
改正	
中旬	
平面	
警告	
小康	
县级	
女装	
崛起	
迷信	
赋予	
人与	
影片	
三级	
凤凰	
为人	
经商	
见到	见jian
着力	着zhuo
佳能	
形态	
私人	
但愿	
承受	
遗憾	遗yi
八条	
下岗	
了吧	了le
演示	
没收	没mo
演绎	
宝典	
那是	那na
年产	
当今	
居家	家jia
延续	
下达	
惊喜	
另类	
内心	
出价	价jia
消毒	
全年	
主角	角jue
光学	
讲述	
起点	
在下	
坐在	
不受	
物资	
静止	
不满	
前往	
金钱	
不变	
和弦	和he
洽谈	
未能	
导演	
心态	
均可	
夏日	
常州	
职权	
情侣	
外汇	
珠宝	
从中	
情形	
团委	
代替	
有害	
追踪	
纲要	
会被	会hui
妻子	
作家	家jia
自信	
你想	
味道	
辛苦	
说我	说shuo
纤维	纤xian
汇率	率lv
园林	
签约	约yue
题目	
必备	
部落	落luo
不一	
广阔	广guang
五月	
发扬	
列为	
污水	
你也	
之际	
机型	
江湖	
一方	
我局	
中等	
开工	
东风	
挖掘	
网易	
充电	
交谈	
闭上	
排除	
不论	
那就	那na
挑选	
免疫	
家乡	家jia
古代	
年级	
得出	得de
推介	
白天	
支柱	
特种	种zhong
前来	
头条	
足以	
下属	属shu
彩铃	
首批	
保养	
公主	
更低	
会让	会hui
无聊	无wu
饲养	
后勤	
可惜	
电动	
幻想	
落户	落luo
分解	解jie
深蓝	
当面	
好转	转zhuan
不及	
演唱	
汕头	
畜牧	畜xu
股权	
只在	
只差	差cha
这条	这zhe
郑重	重zhong
山水	
长大	长zhang|大da
耕地	地di
楼市	
拿到	
旨在	
呼吸	
大专	大da
修复	
矿产	
白领	
您有	
肿瘤	
区分	区qu
请求	
而成	
签字	
金牌	
相片	
微笑	
随便	便bian
是真	
善于	
紧迫	迫po
买到	
牵头	
一边	
当日	
神奇	奇qi
日用	
内在	
自费	
一行	行hang
网吧	
现已	
正当	
不容	
集合	合he
收回	
占用	
过滤	
到货	
少于	
民政	
月亮	
低的	的de
对他	
不停	
硅谷	谷gu
左手	
不懈	
没想	没mei
变革	革ge
不去	
看你	
八月	
证据	
补丁	丁ding
两者	
旁边	
关爱	
文物	
成分	
站台	
三月	
板块	
好几	
百货	百bai
垄断	
奋战	
提倡	提ti
车型	车che
不含	
症状	
递交	
杀毒	
放入	
算是	
建造	
时光	
激动	
筹备	
华夏	
发到	
葡萄	
一万	万wan
一层	
查阅	查cha
要想	
姑娘	
终身	
带头	
预定	
公约	约yue
楷体	楷kai
插入	
隐形	
和他	和he
有助	
招商	
住宿	宿su
本类	
会给	会hui|给gei
楼层	
代号	
不明	
无数	无wu|数shu
要以	
全局	
关联	
边缘	
我都	都dou
改制	
但也	
中午	
版面	
地上	地di
交叉	
上演	
停车	车che
定制	
大胆	大da
单纯	单dan
梦幻	
可按	
身高	
力争	
逛逛	
露出	露lu
一把	
赞成	
我院	
队员	员yuan
冒险	冒mao
袭击	
小店	
瑞士	
这类	这zhe
优美	
早已	
概述	
较快	
储存	
六月	六liu
武功	
没事	没mei
功率	率lv
天内	
愤怒	
搭建	
我已	
源头	
民用	
水稻	
南通	南nan
说过	说shuo
单一	单dan
考验	
登场	
目光	
交往	
警方	
灵魂	
模特	模mo
南北	南nan
抓紧	
插件	
纯属	属shu
倡议	
摩托	摩mo
母婴	
相反	
极限	
年间	
一类	
机票	
星空	
交给	给gei
珍惜	
车身	车che
谨慎	
合成	合he
电路	
为本	
所长	长zhang
长安	长chang
如需	
模糊	模mo
现行	行xing
面貌	
便捷	便bian
笔者	
珠江	
防疫	
之二	
基于	
彩虹	虹hong
均有	
纽约	约yue
三国	
再说	说shuo
东路	
周一	
高温	
此项	
流失	
种子	种zhong
速递	
乐器	乐yue
同比	
爆发	
八十	
如不	
各方	
书店	
挂牌	
备份	
爆炸	
选用	
强度	强qiang|度du
早就	
开业	
泉州	
要看	
期望	期qi
海口	
七月	
九月	
农家	家jia
大户	大da
帖数	数shu
消耗	
开关	
选手	
征收	
故意	
可不	
并有	
饮水	
就算	
看好	
巴西	
证件	
平稳	
充实	
彼此	
再生	
无效	无wu
暴露	暴bao|露lu
凡是	
代价	价jia
对你	
附属	属shu
看的	的de
助手	
影院	
凭借	
合金	合he
并以	
奔驰	
空中	
连载	
仍在	
修理	
低温	
造价	价jia
树状	
咱们	咱zan
最初	
设有	
淘汰	
你看	
正面	
分开	
本市	
一番	番fan
死了	了le
内幕	
出更	
球迷	
拯救	
报酬	
宣扬	
农资	
深深	
冶金	
此前	
光线	
半个	
揭晓	
涉嫌	
改为	
但他	
蔓延	蔓man
送达	
暗示	
眼前	
夫妻	
居中	
准则	
字数	数shu
中部	
清新	
奔腾	
黄山	
联动	
页数	数shu
来信	
送给	给gei
只好	
对应	
回应	
方正	
帮忙	
档次	
邪教	邪xie
披露	露lu
震撼	
所说	说shuo
万余	万wan
厂房	厂chang|房fang
幸运	
转发	转zhuan
一组	
送到	
共识	识shi
耐心	
说不	说shuo
风雨	
联播	
作物	
县长	长zhang
银色	色se
务实	
三方	
我发	
姐姐	
面试	
四次	
论证	
进程	
在对	
邯郸	
朝鲜	朝chao
宋体	
存入	
两只	
生动	
错过	
赛事	
杀手	
摘自	
能用	
黑体	
万个	万wan
宿舍	宿su
最小	
模范	模mo
荷兰	
日韩	
年中	
动感	
很强	强qiang
执政	
你对	
立方	
客运	
使命	
得知	得de
销量	
大气	大da
礼物	
外形	
光荣	
铁道	
跟我	
出让	
慢性	
精确	
南路	南nan
充值	
封闭	
却不	
一颗	
不爱	
高产	
也都	都dou
照顾	
舞蹈	
隐患	
摆脱	
衡量	
等你	
地板	地di
直至	
运费	
考评	
组长	长zhang
能有	
晚会	会hui
暂停	
魔鬼	
存款	
空白	
紫色	色se
营运	
用人	
水电	
首席	
话说	说shuo
含义	
庞大	大da
男孩	
较低	
干燥	
皮革	革ge
能与	
镇江	
评议	
贵阳	
先将	
歌词	
架构	
匹配	
三张	
受伤	
遗产	遗yi
仅有	
虚假	
省内	省sheng
给出	给gei
区划	区qu|划hua
下页	
陷入	
专心	
促使	
他也	
选拔	
桥梁	
两周	
月初	
注销	
入境	
信贷	
异地	地di
奇怪	奇qi
据说	说shuo
原本	
电网	
迎来	
分管	
如实	
所长	长chang
景区	区qu
盈利	
二月	
报送	
概览	
运转	转zhuan
讲解	解jie
税费	
唱歌	
自从	
启用	
疫情	
风貌	
金山	
有趣	
说说	说shuo|说shuo
供电	
动静	
新车	车che
家属	家jia|属shu
加密	
西路	
否认	否fou
回归	
勇气	
得分	得de
电缆	
嘉宾	
正规	
对不	
副总	
东京	
不让	
完了	了le
全民	
学子	
分支	
告别	
处在	
实体	
聚会	会hui
分数	数shu
打分	
他就	
伴随	
体重	重zhong
失效	
亟待	亟ji
破解	解jie
跨国	
托管	
懂得	得de
丧失	
到此	
他对	
保修	
首要	
就把	
洛阳	
纽带	
获悉	
掀起	
部位	
保卫	
是非	
颁奖	
好看	
违章	
口岸	
减小	
学期	期qi
钢铁	
展望	
非洲	
毫无	无wu
除外	
起诉	
再也	
决议	
伎俩	俩liang
仲裁	
达标	
公文	
小于	
计量	
司机	
法学	
联赛	
为民	
纳税	
热心	
依旧	
当作	
能给	给gei
不算	
随笔	
院系	系xi
头像	
用了	了le
政法	
此后	
缩短	缩suo
不利	
生涯	
滥用	
新城	
开花	
在校	校xiao
病人	
打着	着zhe
轨道	
给人	给gei
有何	
将被	
实地	地di
构筑	
主力	
上方	
从小	
极品	
下发	
数额	数shu
仅为	
后台	
化解	解jie
妹妹	
放开	
浓度	度du
对着	着zhe
或不	
双重	重chong
也应	
仇恨	仇chou
运送	
仍不	
趣味	
强劲	强qiang|劲jing
突发	
公报	
谈到	
参赛	参can
材质	
最强	强qiang
厉害	
增大	大da
扩张	
球星	
上课	
来临	
体内	
展厅	
黑白	
掉了	了le
磁盘	
设在	
野生	
会说	会hui|说shuo
手表	
走上	
态势	
首个	
车载	车che
必读	读du
在为	
专线	
一度	度du
看我	
损坏	坏huai
说给	说shuo|给gei
全额	
再度	度du
会长	会hui|长zhang
全身	
年华	
航班	
撰写	
三等	
越大	大da
在上	
郁闷	
新旧	
门窗	
加盖	盖gai
瘦身	
帝国	
著作	著zhu
鲜明	
聘请	
愉快	
如同	
看过	
省份	省sheng
后者	
存档	
转入	转zhuan
例子	
分散	
漏洞	
急速	
日趋	
畅销	
是好	
主营	
明明	
皇家	家jia
起火	
封面	
小孩	
少了	了le
境界	
竞标	
大纲	大da
差别	差cha
责令	
热闹	
仅售	
女友	
王子	
分局	
失望	
就好	
公务	
天涯	
专版	
橄榄	
大哭	大da
一夜	
乐观	乐le
列车	车che
强势	强qiang
发射	
有待	
灵通	
这篇	这zhe
能说	说shuo
和你	和he
流畅	
消灭	
名优	
款项	
命名	
就可	
如在	
大桥	大da
新书	
占据	
要用	
扮演	
荟萃	
作战	
隔离	
能为	
从不	
七届	
灯泡	
核定	核he
简直	
提起	提ti
橱窗	
语文	
弘扬	
外面	
基因	
一笔	
天后	
还想	还hai
着眼	着zhuo
这场	这zhe
书法	
上帝	
华中	
取代	
跟着	着zhe
武装	
最少	
视察	
隐身	
引申	
利率	率lv
飞翔	
总则	
选举	
两条	
渐渐	
浦东	
曾在	曾ceng
燃烧	
协同	
论述	
所占	
所称	称cheng
交警	
快餐	
女郎	
可供	
竣工	
美化	
弹性	弹tan
分割	
发证	
凶杀	
疑难	
聚集	
心脏	
等到	
用地	地di
男生	
可选	
请你	
泡沫	
普查	查cha
预售	
柳州	
与会	会hui
本着	着zhe
对照	
概括	括kuo
也为	
娃娃	
走到	
试探	
有过	
鉴于	
中毒	
嘿嘿	嘿hei|嘿hei
混乱	
现任	
这件	这zhe
中路	
债务	
缓存	
旅客	
判决	
村镇	
移民	
带给	给gei
放松	
你能	
战胜	
蔬菜	
连上	
越南	南nan
下班	
改建	
两岸	
提取	提ti
两国	
赛车	车che
便是	便bian
向前	
拷贝	
散文	
床上	
商店	
黄河	
身材	
助学	
假冒	冒mao
几次	
前列	
干净	
矿山	
拥抱	
刚才	
必将	
周五	
厘米	
四届	
增收	
文书	
特效	
八大	大da
每件	
信赖	
王国	
暑假	
妇联	
频繁	繁fan
户口	
升值	
进修	
将不	
能看	
美图	
都没	都dou|没mei
缤纷	
内有	
路子	
见识	见jian|识shi
都将	都dou
体坛	
入了	了le
中专	
拓宽	拓tuo
烦恼	
爸爸	
是将	
样品	
肌肤	
不等	
投身	
模板	模mu
渴望	
是被	
区内	区qu
民警	
东芝	
争夺	
方圆	
舒服	
套餐	
百元	百bai
直径	
索引	
亚太	
专访	
管道	
可谓	
巨头	
长达	长chang
手工	
旗下	
视角	角jiao
就被	
发病	
打包	
万里	万wan
负面	
任免	
行风	行hang
往来	
之地	地di
浪潮	
坚实	
住在	
凌晨	
秋季	
学费	
在前	
钻石	石shi
火热	
反思	思si
长在	长zhang
码头	
厅长	长zhang
晨报	
巴黎	
融入	
外界	
绩效	
办好	
旋转	转zhuan
网民	
银河	
保安	
规程	
随机	
种族	种zhong
正宗	
灌溉	
害羞	
回头	
水产	
均属	属shu
脱离	
欲望	
既要	
这对	这zhe
去做	
水晶	
产物	
三号	
不起	
盲目	
妥善	
文教	
读卡	读du|卡ka
从未	
互助	
较小	
地段	地di
养成	
纸张	
之风	
倾斜	
开车	车che
贵宾	
内设	
油价	价jia
会使	会hui
创办	
艰难	
教训	
好事	
当初	
收录	
超低	
被动	
香水	
录像	
球队	
复议	
没看	没mei
见过	见jian
而又	
认同	
仓库	
富翁	
密度	度du
票据	
救济	
财力	
飘飘	
高尚	
用电	
改良	
剩下	
商用	
塑造	
少儿	
毫米	
上万	万wan
到处	
阐述	
中美	
手动	
谈话	
敬请	
党风	
球员	员yuan
清水	
并按	
鞋帽	
扩建	
开户	
在外	
曲线	
我为	
模具	模mu
三代	
成年	
杂谈	
否定	否fou
传情	传chuan
诚邀	
雄厚	
一处	
丢失	
你来	
冰箱	
填报	
应按	
魔法	
高压	
透视	
仿佛	佛fu
落到	落luo
激活	
效能	
再来	
高原	
亮度	度du
归来	
冲动	
隶属	属shu
南开	南nan
水上	
还可	还hai
教练	
平静	
粮油	
能使	
原装	
本土	
五项	
亲密	亲qin
飞扬	
阶层	
爷爷	
矩阵	
移交	
丈夫	
遭受	
农药	
冬天	
几件	
不看	
会更	会hui
同等	
眼泪	
任命	
很久	
银川	
鉴别	
只对	
支队	
所做	
错了	了le
着重	着zhuo|重zhong
与之	
口腔	
羡慕	
下篇	
播种	种zhong
神州	
温柔	
关怀	
这段	这zhe
地震	地di
出行	行xing
高低	
人格	
宏伟	
引人	
专人	
庆典	
意图	
某一	
强力	强qiang
真情	
难点	
清单	单dan
不该	
特有	
大喊	大da
东东	
一所	
不当	
阻碍	
这在	这zhe
丰田	
搬迁	
热评	
自学	
青睐	
东部	
外出	
符号	
中共	
另行	行xing
漫步	
写了	了le
公顷	
多件	
大门	大da
不成	
沿海	
招收	
就此	
身心	
不应	
优雅	
头衔	
等人	
