# 8万精准超小词库
# 原始出处未知，原词中多音字注音移除，补充完整拼音，第一个词“是的这个”改成“是的”
# https://github.com/studyzy/imewlconverter/blob/master/参考/8万精准超小词库.txt
#
# 词语	拼音	多音字备注

总体	zong ben	
权益	quan yi	
构建	gou jian	
双方	shuang fang	
你们	ni men	
小学	xiao xue	
别人	bie ren	
永远	yong yuan	
三年	san nian	
放在	fang zai	
环节	huan jie	
风景	feng jing	
多次	duo ci	
在于	zai yu	
美容	mei rong	
技巧	ji qiao	
个性	ge xing	
即可	ji ke	
员工	yuan gong	员yuan
已有	yi you	
选项	xuan xiang	
转移	zhuan yi	转zhuan
转换	zhuan huan	转zhuan
说是	shuo shi	说shuo
清华	qing hua	
均为	jun wei	
顺利	shun li	
商家	shang jia	家jia
您在	nin zai	
制品	zhi pin	
只许	zhi hu	
无限	wu xian	无wu
体验	ben yan	
观念	guan nian	
显著	xian zhu	著zhu
犯罪	fan zui	
都不	dou bu	都dou
黄金	huang jin	
官方	guan fang	
两种	liang zhong	种zhong
成熟	cheng shu	熟shu
英才	ying cai	
顾问	gu wen	
三星	san xing	
我想	wo xiang	
令人	ling ren	
也要	ye yao	
年内	nian na	
预计	yu ji	
投票	tou piao	
宁夏	ning xia	
一体	yi ben	
日常	ri chang	
多年	duo nian	
途径	tu jing	
十大	shi da	大da
职务	zhi wu	
本科	ben ke	
大厦	da sha	大da|厦sha
是个	shi ge	
合法	he fa	合he
现状	xian zhuang	
委托	wei tuo	
气象	qi xiang	
请看	qing kan	
你的	ni de	的de
准确	zhun que	
保健	bao jian	
风险	feng xian	
还要	hai yao	还hai
压力	ya li	
比例	bi li	
英国	ying guo	
总共	zong gong	
那个	na ge	那na
可是	ke shi	
财富	cai fu	
不好	bu hao	
注重	zhu zhong	重zhong
装修	zhuang xiu	
标签	biao qian	
健全	jian quan	
发放	fa fang	
高等	gao deng	
对象	dui xiang	
集成	ji cheng	
添加	tian jia	
巨大	ju da	大da
相对	xiang dui	
聊天	liao tian	
欣赏	xin shang	
比赛	bi sai	
曾经	ceng jing	曾ceng
医学	yi xue	
技能	ji nai	
摘要	zhai yao	
讲话	jiang hua	
人气	ren qi	
第六	di liu	六liu
来看	lai kan	
装备	zhuang bei	
分享	fen xiang	
五年	wu nian	
流动	liu dong	
两年	liang nian	
我也	wo ye	
化学	hua xue	
商标	shang biao	
做的	zuo de	的de
自我	zi wo	
法国	fa guo	
请您	qing nin	
地理	di li	地di
矛盾	mao dun	
成效	cheng xiao	
可见	ke jian	见jian
园区	yuan qu	区qu
报社	bao she	
错误	cuo wu	
职责	zhi ze	
报名	bao ming	
有所	you suo	
专用	zhuan yong	
为主	wei zhu	
东北	dong bei	
指标	zhi biao	
处于	chu yu	
否则	fou ze	否fou
出席	chu xi	
利润	li run	
工资	gong zi	
签名	qian ming	
对其	dui qi	其qi
水里	shui li	
学会	xue hui	会hui
探索	tan suo	
间接	jian jie	
进步	jin bu	
发行	fa xing	行xing
避免	bi mian	
不用	bu yong	
都在	dou zai	都dou
车辆	che liang	车che
能做	nai zuo	
证书	zheng shu	
无力	wu li	无wu
对此	dui ci	
月份	yue bin	
家电	jia dian	家jia
厦门	xia men	厦xia
上传	shang chuan	传chuan
理由	li you	
名字	ming zi	
一份	yi bin	
幸福	xing fu	
家园	jia yuan	家jia
场所	chang suo	
打击	da ji	
是不	shi bu	
效率	xiao lv	率lv
运输	yun shu	
主动	zhu dong	
逐步	zhu bu	
青海	qing hai	
完美	wan mei	
提前	ti qian	提ti
合格	he ge	合he
手里	shou li	
长的	chang de	长chang|的de
规格	gui ge	
济南	ji nan	南nan
所属	suo shu	属shu
物流	wu liu	
组图	zu tu	
酒店	jiu dian	
让人	rang ren	
品种	pin zhong	种zhong
加上	jia shang	
万方	wan fang	万wan
合同	he tong	合he
读者	du zhe	读du
证券	zheng quan	券quan
训练	xun lian	
流程	liu cheng	
同学	tong xue	
今后	jin hou	
亚洲	ya zhou	
定位	ding wei	
改造	gai zao	
宣布	xuan bu	
遇到	yu dao	
切实	qie shi	
不够	bu gou	
让我	rang wo	
上升	shang sheng	
寻找	xun zhao	寻xun
比如	bi ru	
运营	yun ying	
策略	ce lve	
手续	shou xu	
就有	jiu you	
鉴定	jian ding	
您还	nin hai	还hai
审批	shen pi	
于是	yu shi	
感谢	gan xie	
一张	yi zhang	
海洋	hai yang	
事故	shi gu	
周边	zhou bian	
就不	jiu bu	
内存	na cun	
主席	zhu xi	
动物	dong wu	
复杂	fu za	
表情	biao qing	
礼品	li pin	
多人	duo ren	
应当	ying dang	
强化	qiang hua	强qiang
大街	da jie	大da
贵州	gui zhou	
变成	bian cheng	
整理	zheng li	
是要	shi yao	
密切	mi qie	
年前	nian qian	
国民	guo min	
小区	xiao qu	区qu
违反	wei fan	
体制	ben zhi	
院校	yuan xiao	校xiao
位于	wei yu	
团队	tuan dui	
特征	te zheng	
容量	rong liang	
类似	lei si	似si
规章	gui zhang	
定期	ding qi	期qi
招标	zhao biao	
化工	hua gong	
优化	you hua	
进口	jin kou	
上午	shang wu	
驱动	qu dong	
为您	wei nin	
愿意	yuan yi	
接触	jie chu	
不了	bu liao	了liao
有点	you dian	
一名	yi ming	
之中	zhi zhong	
买了	mai le	了le
检测	jian ce	
订单	ding dan	单dan
信号	shen hao	
城区	cheng qu	区qu
万人	wan ren	万wan
都会	du hui	都du|会hui
自觉	zi jue	觉jue
我爱	wo ai	
求职	qiu zhi	
一周	yi zhou	
站长	zhan zhang	长zhang
维修	wei xiu	
相册	xiang ce	
来到	lai dao	
好地	hao di	地di
开拓	kai tuo	拓tuo
多了	duo le	了le
铁路	tie lu	
之外	zhi wai	
国土	guo tu	
接口	jie kou	
组合	zu he	合he
上了	shang le	了le
唯一	wei yi	
出售	chu shou	
人力	ren li	
黑色	hei se	色se
签订	qian ding	
累计	lei ji	
排水	pai shui	
沟通	gou tong	
动画	dong hua	
房子	fang zi	房fang
低于	di yu	
视听	shi ting	
将会	jiang hui	会hui
军事	jun shi	
填写	tian xie	
财产	cai chan	
装饰	zhuang shi	
品质	pin zhi	
一段	yi duan	
权威	quan wei	
一代	yi dai	
随时	sui shi	
监控	jian kong	
顶部	ding bu	
每一	mei yi	
那里	na li	那na
死亡	si wang	亡wang
营造	ying zao	
帅哥	shuai ge	
实力	shi li	
声音	sheng yin	
强大	qiang da	强qiang|大da
人文	ren wen	
学历	xue li	
表达	biao da	
确实	que shi	
引发	yin fa	
查找	cha zhao	查cha
方针	fang zhen	
市民	shi min	
高兴	gao xing	
是最	shi zui	
我在	wo zai	
预报	yu bao	
可在	ke zai	
门户	men hu	
众多	zhong duo	
联想	lian xiang	
依然	yi ran	
他说	ta shuo	说shuo
表彰	biao zhang	
严禁	yan jin	
上级	shang ji	
相比	xiang bi	
追求	dui qiu	
回答	hui da	
是对	shi dui	
党的	dang de	的de
最多	zui duo	
强烈	qiang lie	强qiang
自行	zi xing	行xing
特价	te jia	价jia
虚拟	xu ni	
足球	zu qiu	
屏幕	ping mu	屏ping
详情	xiang qing	
出处	chu chu	
胜利	sheng li	
天天	tian tian	
产量	chan liang	
甘肃	gan su	
吉林	ji lin	
尚未	shang wei	
聚焦	ju jiao	
态度	tai du	度du
朝阳	chao yang	朝chao
晚上	wan shang	
治理	zhi li	
危险	wei xian	
疯狂	feng kuang	
能在	nai zai	
培育	pei yu	育yu
赚钱	zhuan qian	赚zhuan
读书	du shu	读du
提醒	ti xing	提ti
回到	hui dao	
承诺	cheng nuo	
此次	ci ci	
也许	ye hu	
战争	zhan zheng	
图文	tu wen	
郑州	zheng zhou	
评选	ping xuan	
本次	ben ci	
求助	qiu chu	
观察	guan cha	
电源	dian yuan	
回顾	hui gu	
奖励	jiang li	
感到	gan dao	
四个	si ge	
角度	jiao du	角jiao|度du
第七	di qi	
模拟	mo ni	模mo
年龄	nian ling	
此页	ci ye	
仅仅	jin jin	
本身	ben shen	
讲座	jiang zuo	
理想	li xiang	
想到	xiang dao	
专利	zhuan li	
第八	di ba	
电池	dian chi	
层次	ceng ci	
还在	hai zai	还hai
参观	can guan	参can
大赛	da sai	大da
对比	dui bi	
信用	shen yong	
垃圾	la ji	
周年	zhou nian	
暂无	zan wu	无wu
应对	ying dui	
纷纷	fen fen	
你是	ni shi	
都要	dou yao	都dou
快讯	kuai xun	
线路	xian lu	
审计	shen ji	
就能	jiu nai	
服饰	fu shi	
任意	ren yi	
建材	jian cai	
三大	san da	大da
保存	bao cun	
拍卖	pai mai	
更是	geng shi	
铃声	ling sheng	
习惯	xi guan	
先后	xian hou	
逐渐	zhu jian	
新增	xin zeng	
各位	ge wei	
导购	dao gou	
一套	yi tao	
生存	sheng cun	
这也	zhe ye	这zhe
出发	chu fa	
彻底	che di	底di
常务	chang wu	
更为	geng wei	
也会	ye hui	会hui
他人	ta ren	
不知	bu zhi	
研讨	yan tao	
能源	nai yuan	
教材	jiao cai	
有着	you zhe	着zhe
尺寸	chi cun	尺chi
似乎	si hu	似si
可靠	ke kao	
规律	gui lv	
所需	suo xu	
上下	shang xia	
之路	zhi lu	
面向	mian xiang	
决策	jue ce	
信心	shen xin	
本报	ben bao	
资本	zi ben	
出台	chu tai	
十三	shi san	
液晶	ye jing	
拒绝	ju jue	
光临	guang lin	
开心	kai xin	
厂家	chang jia	厂chang|家jia
前提	qian ti	提ti
利于	li yu	
请问	qing wen	
锁定	suo ding	
回收	hui shou	
做了	zuo le	了le
域名	yu ming	
西藏	xi zang	藏zang
买卖	mai mai	
相同	xiang tong	
优质	you zhi	
低价	di jia	价jia
增值	zeng zhi	
刚刚	gang gang	
日益	ri yi	
长春	chang chun	长chang
依靠	yi kao	
较好	jiao hao	
用途	yong tu	
祝福	zhou fu	
收购	shou gou	
看望	kan wang	
十年	shi nian	
显卡	xian ka	卡ka
外语	wai yu	
如有	ru you	
始终	shi zhong	
手册	shou ce	
下降	xia jiang	降jiang
热情	re qing	
尽快	jin kuai	
激情	ji qing	
使得	shi de	得de
贷款	dai kuan	
歌曲	ge qu	
全省	quan sheng	省sheng
会计	kuai ji	会kuai
超市	chao shi	
少数	shao shu	数shu
将于	jiang yu	
路线	lu xian	
林业	lin ye	
下乡	xia xiang	
我校	wo xiao	校xiao
建筑	jian zhu	
影音	ying yin	
使我	shi wo	
围绕	wei rao	
色彩	se cai	色se
新型	xin xing	
独特	du te	
并将	bing jiang	
十九	shi jiu	
帽子	mao zi	
一场	yi chang	
学者	xue zhe	
流通	liu tong	
昵称	ni cheng	称cheng
验收	yan shou	
学位	xue wei	
外资	wai zi	
评分	ping fen	
曝光	bao guang	曝bao
平板	ping ban	
事实	shi shi	
几年	ji nian	
经贸	jing mao	
循环	xun huan	
当真	dang zhen	
时刻	shi ke	
团结	tuan jie	
文献	wen xian	
简体	jian ben	
太阳	tai yang	
疾病	ji bing	
配送	pei song	
英雄	ying xiong	
汇报	hui bao	
回报	hui bao	
新生	xin sheng	
全体	quan ben	
革命	ge ming	革ge
出租	chu zu	
四大	si da	大da
级别	ji bie	
不如	bu ru	
物业	wu ye	
试试	shi shi	
便民	bian min	便bian
成就	cheng jiu	
十四	shi si	
公里	gong li	
他看	ta kan	
知名	zhi ming	
距离	ju li	
清晰	qing xi	
好了	hao le	了le
基层	ji ceng	
发给	fa gei	给gei
予以	yu yi	
期待	qi dai	期qi
留下	liu xia	
搜狐	sou hu	
外设	wai she	
调控	tiao kong	调tiao
通用	tong yong	
消除	xiao chu	
表格	biao ge	
鼠标	shu biao	
大陆	da lu	大da|陆lu
花园	hua yuan	
几千	ji qian	
采访	cai fang	
信誉	shen yu	
附近	fu jin	
想着	xiang zhe	着zhe
原地	yuan di	地di
委员	wei yuan	员yuan
熟悉	shu xi	熟shu
浪漫	lang man	
你做	ni zuo	
仔细	zi xi	仔zi
廉政	lian zheng	
民事	min shi	
新帖	xin tie	
物质	wu zhi	
分布	fen bu	
本周	ben zhou	
售后	shou hou	
就要	jiu yao	
因您	yin nin	
邀请	yao qing	
施工	shi gong	
局面	ju mian	
是在	shi zai	
还未	hai wei	还hai
给你	gei ni	给gei
适当	shi dang	适shi
期限	qi xian	期qi
群体	qun ben	
预算	yu suan	
崇拜	chong bai	
爱问	ai wen	
精心	jing xin	
听取	ting qu	
秘密	mi mi	秘mi
看来	kan lai	
部长	bu zhang	长zhang
思路	si lu	思si
通道	tong dao	
协助	xie chu	
精选	jing xuan	
高考	gao kao	
大众	da zhong	大da
页次	ye ci	
实在	shi zai	
一款	yi kuan	
您好	nin hao	
红色	hong se	红hong|色se
回来	hui lai	
苹果	peng guo	
中有	zhong you	
走向	zou xiang	
工会	gong hui	会hui
之日	zhi ri	
温度	wen du	度du
工人	gong ren	
金属	jin shu	属shu
联络	lian luo	络luo
分为	fen wei	
三十	san shi	
订购	ding gou	
至今	zhi jin	
房屋	fang wu	房fang
新手	xin shou	
老板	lao ban	
为何	wei he	
期刊	qi kan	期qi
零售	ling shou	
电器	dian qi	
转变	zhuan bian	转zhuan
更大	geng da	大da
省市	sheng shi	省sheng
秘书	mi shu	秘mi
补充	bu chong	
排序	pai xu	
空气	kong qi	
官员	guan yuan	员yuan
转让	zhuan rang	转zhuan
整合	zheng he	合he
动作	dong zuo	
若干	ruo gan	若ruo
总额	zong e	
课题	ke ti	
梦想	meng xiang	
要在	yao zai	
器材	qi cai	
举措	ju cuo	
一月	yi yue	
部署	bu shu	
公路	gong lu	
卡通	ka tong	卡ka
笔名	bi ming	
玩具	wan ju	
分子	fen zi	
华东	hua dong	
本文	ben wen	
出生	chu sheng	
扩展	kuo zhan	
是指	shi zhi	
保密	bao mi	
生日	sheng ri	
预防	yu fang	
第九	di jiu	
数学	shu xue	数shu
展览	zhan lan	
污染	wu ran	
账户	zhang hu	
苏州	su zhou	
荣誉	rong yu	
皮肤	pi fu	
为此	wei ci	
是很	shi hen	
前沿	qian yan	
光盘	guang pan	
审查	shen cha	查cha
简报	jian bao	
查处	cha chu	查cha
暂时	zan shi	
不管	bu guan	
为其	wei qi	其qi
蓝色	lan se	色se
创意	chuang yi	
是从	shi cong	
典型	dian xing	
业界	ye jie	
大大	da da	大da|大da
请在	qing zai	
深刻	shen ke	
示范	shi fan	
要有	yao you	
步伐	bu fa	
平衡	ping heng	
当年	dang nian	
机场	ji chang	
电力	dian li	
病毒	bing dai	
总局	zong ju	
上面	shang mian	
民主	min zhu	
也很	ye hen	
解答	jie da	解jie
传递	chuan di	传chuan
局长	ju zhang	长zhang
过来	guo lai	
较高	jiao gao	
不想	bu xiang	
您对	nin dui	
放弃	fang qi	
明白	ming bai	
科普	ke pu	
一旦	yi dan	
有利	you li	
区别	qu bie	区qu
翻译	fan yi	
还不	hai bu	还hai
一部	yi bu	
年底	nian di	底di
运作	yun zuo	
到我	dao wo	
业内	ye na	
回家	hui jia	家jia
前景	qian jing	
包含	bao han	
走进	zou jin	
工厂	gong chang	厂chang
某些	mou suo	
看法	kan fa	
降价	jiang jia	降jiang|价jia
等待	deng dai	
人体	ren ben	
隐藏	yin cang	藏cang
森林	sen lin	
青春	qing chun	
小的	xiao de	的de
院长	yuan zhang	长zhang
阿门	a men	阿a
刷新	shua xin	
邮局	you ju	
图像	tu xiang	
长沙	chang sha	长chang
履行	lv xing	行xing
首都	shou du	都du
室内	shi na	
扫描	sao miao	
小说	xiao shuo	说shuo
为准	wei zhun	
我来	wo lai	
担任	dan ren	
生长	sheng zhang	长zhang
住宅	zhu zhai	
停止	ting zhi	
性感	xing gan	
民营	min ying	
我就	wo jiu	
新的	xin de	的de
每周	mei zhou	
账号	zhang hao	
理工	li gong	
差异	cha yi	差cha
传媒	chuan mei	传chuan
团体	tuan ben	
南方	nan fang	南nan
公斤	gong jin	
中间	zhong jian	
感动	gan dong	
才是	cai shi	
留学	liu xue	
将其	jiang qi	其qi
身上	shen shang	
印刷	yin shua	
重量	zhong liang	重zhong
看了	kan le	了le
初步	chu bu	
批发	pi fa	
由此	you ci	
家具	jia ju	家jia
滚动	gun dong	
航空	hang kong	
哈哈	ha ha	
通常	tong chang	
马上	ma shang	
键盘	jian pan	
空调	kong tiao	调tiao
春节	chun jie	
外国	wai guo	
校长	xiao zhang	校xiao|长zhang
小姐	xiao jie	
我是	wo shi	
变得	bian de	得de
不良	bu liang	
如今	ru jin	
下去	xia qu	
女子	nv zi	
检验	jian yan	
还能	hai nai	还hai
豪华	hao hua	
消防	xiao fang	
要做	yao zuo	
大奖	da jiang	大da
同步	tong bu	
西南	xi nan	南nan
快捷	kuai jie	
拓展	tuo zhan	拓tuo
活力	huo li	
看不	kan bu	
药品	yao pin	
也在	ye zai	
整顿	zheng dun	顿dun
国产	guo chan	
政协	zheng xie	
隆重	long zhong	重zhong
线索	xian suo	
引擎	yin qing	
特性	te xing	
飞机	fei ji	
宠物	chong wu	
领先	ling xian	
宏观	hong guan	
种类	zhong lei	种zhong
餐饮	can yin	
问答	wen da	
威胁	wei xie	
赞同	zan tong	
日历	ri li	
宁波	ning bo	
日记	ri ji	
投影	tou ying	
便于	bian yu	便bian
记忆	ji yi	
展会	zhan hui	会hui
每次	mei ci	
也就	ye jiu	
中山	zhong shan	
定义	ding yi	
普及	pu ji	
兄弟	xiong di	
争取	zheng qu	
随后	sui hou	
上有	shang you	
指数	zhi shu	数shu
角色	jue se	角jue|色se
高层	gao ceng	
宾馆	bin guan	
太多	tai duo	
应在	ying zai	
很有	hen you	
布局	bu ju	
中介	zhong jie	
法院	fa yuan	
调节	tiao jie	调tiao
物价	wu jia	价jia
失去	shi qu	
做法	zuo fa	
含有	han you	
中学	zhong xue	
必然	bi ran	
侮辱	wu ru	
眼睛	yan jing	
三角	san jiao	角jiao
高中	gao zhong	
上来	shang lai	
伟大	wei da	大da
患者	huan zhe	
经费	jing fei	
下了	xia le	了le
小心	xiao xin	
直通	zhi tong	
宝贝	bao bei	
更高	geng gao	
足够	zu gou	
居住	ju zhu	
收取	shou qu	
并对	bing dui	
先锋	xian feng	
紧急	jin ji	
公园	gong yuan	
活宝	huo bao	
火爆	huo bao	
业绩	ye ji	
日子	ri zi	
周刊	zhou kan	
文本	wen ben	
西北	xi bei	
紧张	jin zhang	
总之	zong zhi	
上门	shang men	
连同	lian tong	
宗旨	zong zhi	
主流	zhu liu	
表面	biao mian	
对本	dui ben	
北方	bei fang	
则是	ze shi	
稿件	gao jian	
便宜	pian yi	便pian
跳转	tao zhuan	转zhuan
激烈	ji lie	
文艺	wen yi	
快递	kuai di	
五大	wu da	大da
不久	bu jiu	
以内	yi na	
写真	xie zhen	
编制	bian zhi	
长江	chang jiang	长chang
诊断	zhen duan	
对方	dui fang	
人次	ren ci	
本来	ben lai	
保留	bao liu	
至于	zhi yu	
过了	guo le	了le
周围	zhou wei	
每月	mei yue	
融资	rong zi	
风云	feng yun	
但在	dan zai	
失败	shi bai	
拍摄	pai nie	
座谈	zuo tan	
一块	yi kuai	
税务	shui wu	
印象	yin xiang	
父母	fu mu	
同类	tong lei	
发达	fa da	
输出	shu chu	
抓住	zhua zhu	
案件	an jian	
女生	nv sheng	
型号	xing hao	
越多	yue duo	
新鲜	xin xian	
思维	si wei	思si
都能	dou nai	都dou
楼盘	lou pan	
晚报	wan bao	
名人	ming ren	
玻璃	bo li	
紧密	jin mi	
明天	ming tian	
直播	zhi bo	
业主	ye zhu	
滚屏	gun ping	屏ping
并非	bing fei	
伤情	shang qing	
通报	tong bao	
模型	mo xing	模mo
当代	dang dai	
法定	fa ding	
交换	jiao huan	
汇款	hui kuan	
路由	lu you	
名牌	ming pai	
折扣	zhe kou	折zhe
三条	san tiao	
家用	jia yong	家jia
覆盖	fu gai	盖gai
呈现	cheng xian	
女士	nv shi	
加速	jia su	
不但	bu dan	
吸收	xi shou	
千元	qian yuan	
母亲	mu qin	亲qin
认可	ren ke	
城镇	cheng zhen	
步骤	bu zhou	
对策	dui ce	
防止	fang zhi	
要把	yao ba	
咖啡	ka fei	咖ka
身边	shen bian	
对话	dui hua	
估计	gu ji	
行情	hang qing	行hang
繁体	fan ben	繁fan
观看	guan kan	
记得	ji de	得de
还会	hai hui	还hai|会hui
面前	mian qian	
又有	you you	
懂事	dong shi	
不大	bu da	大da
市长	shi zhang	长zhang
户外	hu wai	
这位	zhe wei	这zhe
温州	wen zhou	
感情	gan qing	
情报	qing bao	
三次	san ci	
二条	er tiao	
民意	min yi	
选购	xuan gou	
宗教	zong jiao	
短期	duan qi	期qi
饲料	si liao	
色情	se qing	色se
每页	mei ye	
列入	lie ru	
老人	lao ren	
了吗	le ma	了le
福州	fu zhou	
访谈	fang tan	
上去	shang qu	
精美	jing mei	
热烈	re lie	
友好	you hao	
日志	ri zhi	
日内	ri na	
生意	sheng yi	
非法	fei fa	
原理	yuan li	
庆祝	qing zhou	
担心	dan xin	
应急	ying ji	
风暴	feng bao	暴bao
外贸	wai mao	
情人	qing ren	
人家	ren jia	家jia
争议	zheng yi	
我能	wo nai	
诽谤	fei bang	
会展	hui zhan	会hui
纳入	na ru	
沙龙	sha long	
放心	fang xin	
带动	dai dong	
前后	qian hou	
起了	qi le	了le
透露	tou lu	露lu
认定	ren ding	
独家	du jia	家jia
奋斗	fen dou	
格局	ge ju	
五条	wu tiao	
点点	dian dian	
频率	bin lv	率lv
天堂	tian tang	
明年	ming nian	
几天	ji tian	
首届	shou jie	
多元	duo yuan	
风光	feng guang	
此处	ci chu	
名录	ming lu	
遭遇	zao yu	
多万	duo wan	万wan
营养	ying yang	
接近	jie jin	
重复	chong fu	重chong
住房	zhu fang	房fang
齐全	qi quan	齐qi
站在	zhan zai	
作出	zuo chu	
冲击	chong ji	
组建	zu jian	
纵横	zong heng	
就像	jiu xiang	
有个	you ge	
找我	zhao wo	
双击	shuang ji	
预览	yu lan	
此文	ci wen	
侵犯	qin fan	
想要	xiang yao	
总裁	zong cai	
外观	wai guan	
汇总	hui zong	
违规	wei gui	
武器	wu qi	
白色	bai se	色se
新建	xin jian	
显得	xian de	得de
清洁	qing jie	
水果	shui guo	
远程	yuan cheng	
辅导	fu dao	
有机	you ji	
彩色	cai se	色se
有望	you wang	
合肥	he fei	合he
租赁	zu lin	
获奖	huo jiang	
多样	duo yang	
补贴	bu tie	
尝试	chang shi	
能不	nai bu	
攻略	gong lve	
无锡	wu xi	无wu
贴图	tie tu	
也可	ye ke	
损害	sun hai	
潜力	qian li	
暂行	zan xing	行xing
不行	bu xing	行xing
也能	ye nai	
幅度	fu du	度du
究竟	jiu jing	
乐园	le yuan	乐le
抓好	zhua hao	
疑问	ni wen	
须知	xu zhi	
山区	shan qu	区qu
两次	liang ci	
走出	zou chu	
电台	dian tai	
去了	qu le	了le
征集	zheng ji	
刊登	kan deng	
股票	gu piao	
年后	nian hou	
您要	nin yao	
文档	wen dang	
灵活	ling huo	
休息	xiu xi	
健身	jian shen	
二级	er ji	
光明	guang ming	
前面	qian mian	
交友	jiao you	
结论	jie lun	
内涵	na han	
个别	ge bie	
传输	chuan shu	传chuan
临时	lin shi	
为我	wei wo	
五个	wu ge	
末页	mo ye	
从业	cong ye	
进而	jin er	
地下	di xia	地di
尽量	jin liang	
镜头	jing tou	
三种	san zhong	种zhong
年初	nian chu	
可用	ke yong	
不敢	bu gan	
出去	chu qu	
耗材	hao cai	
高手	gao shou	
支撑	zhi cheng	
常规	chang gui	
立足	li zu	
试点	shi dian	
各国	ge guo	
诱惑	you huo	
导向	dao xiang	
货币	huo bi	
说话	shuo hua	说shuo
差距	cha ju	差cha
缩小	suo xiao	缩suo
百年	bai nian	百bai
界面	jie mian	
一流	yi liu	
起到	qi dao	
赔偿	pei chang	
主机	zhu ji	
表演	biao yan	
六条	liu tiao	六liu
天使	tian shi	
出国	chu guo	
减轻	jian qing	
淫秽	yin hui	
立刻	li ke	
方位	fang wei	
