壁垒机械	bi lei ji xie
彼等不得见上界	bi deng bu de jian shang jie
彼等厚度亦等高	bi deng hou du yi deng gao
彼等极明显	bi deng ji ming xian
彼等皆为习气现	bi deng jie wei xi qi xian
彼等具二三三果	bi deng ju er san san guo
彼等均是言思境	bi deng jun shi yan si jing
彼等林苑之四方	bi deng lin yuan zhi si fang
彼等笼统而归纳	bi deng long tong er gui na
彼等七间为七海	bi deng qi jian wei qi hai
彼等誓言多种理	bi deng shi yan duo zhong li
彼等寿即八万间	bi deng shou ji ba wan jian
彼等悉皆不成立	bi deng xi jie bu cheng li
彼等已经现见故	bi deng yi jing xian jian gu
彼等异体不相违	bi deng yi ti bu xiang wei
彼等有表无表业	bi deng you biao wu biao ye
彼等于三有	bi deng yu san you
彼等之间八小洲	bi deng zhi jian ba xiao zhou
彼等之外铁围山	bi deng zhi wai tie wei shan
彼等智慧以轮番	bi deng zhi hui yi lun fan
彼等智者尚于此	bi deng zhi zhe shang yu ci
彼地送还乡	bi di song huan xiang
彼迪甘	bi di gan
彼迪明	bi di ming
彼迪宁	bi di ning
彼迪清	bi di qing
彼迪小安	bi di xiao an
彼都人士	bi dou ren shi
彼都无所生	bi dou wu suo sheng
彼独是何人	bi du shi he ren
彼端	bi duan
彼多益	bi duo yi
彼夺其民时	bi duo qi min shi
彼恶得而鬻之	bi e de er yu zhi
彼恶得而知之	bi e de er zhi zhi
彼恶敢当我哉	bi e gan dang wo zai
彼恶知之	bi e zhi zhi
彼二乘风息	bi er cheng feng xi
彼二非一异体故	bi er fei yi yi ti gu
彼二衡量瓶等时	bi er heng liang ping deng shi
彼二力量永相同	bi er li liang yong xiang tong
彼二菩萨	bi er pu sa
彼二通过问答式	bi er tong guo wen da shi
彼尔	bi er
彼尔德	bi er de
彼尔德伯格俱乐部	bi er de bo ge ju le bu
彼尔姆	bi er mu
彼尔姆阿穆卡尔	bi er mu a mu ka er
彼尔维何	bi er wei he
彼发心较他胜犹严重	bi fa xin jiao ta sheng you yan zhong
彼方	bi fang
彼方的碎片	bi fang de sui pian
彼方餽贈	bi fang kui zeng
彼方餽赠	bi fang kui zeng
彼方且与造物者为人	bi fang qie yu zao wu zhe wei ren
彼方韶景无时节	bi fang shao jing wu shi jie
彼方诗语	bi fang shi yu
彼方心语	bi fang xin yu
彼方邀约	bi fang yao yue
彼方邀约华丽	bi fang yao yue hua li
彼方邀约忆	bi fang yao yue yi
彼方邀约珍稀	bi fang yao yue zhen xi
彼方英司	bi fang ying si
彼菲盾绒跳小蜂	bi fei dun rong tiao xiao feng
彼非所明而明之	bi fei suo ming er ming zhi
彼非言词分别境	bi fei yan ci fen bie jing
彼非以兴名誉也	bi fei yi xing ming yu ye
彼非至人	bi fei zhi ren
彼非众生	bi fei zhong sheng
彼飞鸟兮鸢乌	bi fei niao xi yuan wu
彼分思业思作业	bi fen si ye si zuo ye
彼汾沮洳	bi fen ju ru
彼汾惟帝乡	bi fen wei di xiang
彼汾一方	bi fen yi fang
彼汾一曲	bi fen yi qu
彼汾之曲嘉可游	bi fen zhi qu jia ke you
彼纷者务	bi fen zhe wu
彼佛初会声闻众数不可称计	bi fo chu hui sheng wen zhong shu bu ke cheng ji
彼佛盾绒跳小蜂	bi fo dun rong tiao xiao feng
彼佛光明	bi fo guang ming
彼佛光明无量	bi fo guang ming wu liang
彼佛国土	bi fo guo tu
彼佛国土成就如是功德庄严	bi fo guo tu cheng jiu ru shi gong de zhuang yan
彼佛国土无三恶道	bi fo guo tu wu san e dao
彼佛国中	bi fo guo zhong
彼佛国中诸声闻众	bi fo guo zhong zhu sheng wen zhong
彼佛何故号阿弥陀	bi fo he gu hao a mi tuo
彼佛寿命	bi fo shou ming
彼佛有无量无边声闻弟子	bi fo you wu liang wu bian sheng wen di zi
彼佛众会咸清净我时于胜莲华生	bi fo zhong hui xian qing jing wo shi yu sheng lian hua sheng
彼妇人之猖狂	bi fu ren zhi chang kuang
彼妇人之淫昏	bi fu ren zhi yin hun
彼妇之口	bi fu zhi kou
彼妇之谒	bi fu zhi ye
彼富我仁	bi fu wo ren
彼富则人归之	bi fu ze ren gui zhi
彼阁数据	bi ge shu ju
彼阁数据科技	bi ge shu ju ke ji
彼诟徒	bi gou tu
彼固惑而来矣	bi gu huo er lai yi
彼固蓬莱宫	bi gu peng lai gong
彼故使彼	bi gu shi bi
彼故鬻之	bi gu yu zhi
彼故知之	bi gu zhi zhi
彼寡可以击吾之众者	bi gua ke yi ji wu zhi zhong zhe
彼国常有种种奇妙杂色之鸟	bi guo chang you zhong zhong qi miao za se zhi niao
彼国菩萨	bi guo pu sa
彼国人民	bi guo ren min
彼果具足大受用	bi guo ju zu da shou yong
彼果双运之智慧	bi guo shuang yun zhi zhi hui
彼海姆的法术铁匠	bi hai mu de fa shu tie jiang
彼海姆龙学院	bi hai mu long xue yuan
彼海之东	bi hai zhi dong
彼寒暑之寖化兮	bi han shu zhi jin hua xi
彼豪二氏计数池	bi hao er shi ji shu chi
彼何宾宾以学子为	bi he bin bin yi xue zi wei
彼何能见色	bi he neng jian se
彼何人	bi he ren
彼何人斯	bi he ren si
彼何人哉	bi he ren zai
彼何人哉轩与羲	bi he ren zai xuan yu xi
彼何人者邪	bi he ren zhe xie
彼何荣势之云哉	bi he rong shi zhi yun zai
彼何世民	bi he shi min
彼何为兮	bi he wei xi
彼何为者也	bi he wei zhe ye
彼何暇安其性命之情哉	bi he xia an qi xing ming zhi qing zai
彼何罪焉	bi he zui yan
彼候人兮	bi hou ren xi
彼后	bi hou
彼后何增长	bi hou he zeng zhang
彼鹄斯微	bi hu si wei
彼化生者	bi hua sheng zhe
彼昏不知	bi hun bu zhi
彼昏方怡然	bi hun fang yi ran
彼昏何为者	bi hun he wei zhe
彼即说还灭	bi ji shuo hai mie
彼即说流转	bi ji shuo liu zhuan
彼即无差别	bi ji wu cha bie
彼即无自在	bi ji wu zi zai
彼既成	bi ji cheng
彼既老	bi ji lao
彼既仕	bi ji shi
彼稷多有	bi ji duo you
彼稷之苗	bi ji zhi miao
彼稷之实	bi ji zhi shi
彼稷之穗	bi ji zhi sui
彼集业之理	bi ji ye zhi li
彼假修浑沌氏之术者也	bi jia xiu hun dun shi zhi shu zhe ye
彼嘉	bi jia
彼奸逆之炽盛	bi jian ni zhi chi sheng
彼见此土	bi jian ci tu
彼将处乎不淫之度	bi jiang chu hu bu yin zhi du
彼将对以臆	bi jiang dui yi yi
彼将内求于己而不得	bi jiang nei qiu yu ji er bu de
彼将任我以事	bi jiang ren wo yi shi
彼将失戒律	bi jiang shi jie lv
彼将自然	bi jiang zi ran
彼交匪敖	bi jiao fei ao
彼交匪纾	bi jiao fei shu
彼教不学	bi jiao bu xue
彼狡童	bi jiao tong
彼狡童兮	bi jiao tong xi
彼骄者子	bi jiao zhe zi
彼界	bi jie
彼界龍座	bi jie long zuo
彼界龙座	bi jie long zuo
彼皆非吾土	bi jie fei wu tu
彼皆蔓延杂说	bi jie man yan za shuo
彼皆去眼绝人伪	bi jie qu yan jue ren wei
彼皆势极就烟埃	bi jie shi ji jiu yan ai
彼皆習之	bi jie xi zhi
彼皆有用世所好	bi jie you yong shi suo hao
彼皆与我之所同	bi jie yu wo zhi suo tong
彼竭我盈	bi jie wo ying
彼节者有间	bi jie zhe you jian
彼节者有间而刀刃者无厚	bi jie zhe you jian er dao ren zhe wu hou
彼矜杏梁贵	bi jin xing liang gui
彼近吾死而我不听	bi jin wu si er wo bu ting
彼金何足道	bi jin he zu dao
彼境亦为恶	bi jing yi wei e
彼俱相违分别	bi ju xiang wei fen bie
彼具善业者	bi ju shan ye zhe
彼锯牙而钩爪	bi ju ya er gou zhao
彼爵我义	bi jue wo yi
彼军为我奔	bi jun wei wo ben
彼君子女	bi jun zi nv
彼君子兮	bi jun zi xi
彼可徐鞭笞	bi ke xu bian chi
彼可以	bi ke yi
彼可以来者	bi ke yi lai zhe
彼口不道忠信	bi kou bu dao zhong xin
彼苦	bi ku
彼拉多	bi la duo
彼拉多第叁次对他们说	bi la duo di san ci dui ta men shuo
彼拉多定意要释放他	bi la duo ding yi yao shi fang ta
彼拉多对犹太人说	bi la duo dui you tai ren shuo
彼拉多见说也无济于事	bi la duo jian shuo ye wu ji yu shi
彼拉多就对他们说	bi la duo jiu dui ta men shuo
彼拉多就吩咐给他	bi la duo jiu fen fu gei ta
彼拉多想要释放耶稣	bi la duo xiang yao shi fang ye su
彼拉多要叫众人喜悦	bi la duo yao jiao zhong ren xi yue
彼拉多又出来对众人说	bi la duo you chu lai dui zhong ren shuo
彼拉多又进了衙门	bi la duo you jin le ya men
彼拉多愿意释放耶稣	bi la duo yuan yi shi fang ye su
彼来此已去	bi lai ci yi qu
彼来则我与之来	bi lai ze wo yu zhi lai
彼劳者子	bi lao zhe zi
彼乐健	bi le jian
彼乐为何等	bi le wei he deng
彼羸此或亏	bi lei ci huo kui
彼离畔而朋党兮	bi li pan er peng dang xi
彼列	bi lie
彼列的宝玉	bi lie de bao yu
彼列就是撒但的别名	bi lie jiu shi sa dan de bie ming
彼凌江而建国	bi ling jiang er jian guo
彼岭中兮何有	bi ling zhong xi he you
彼留之子	bi liu zhi zi
彼留子国	bi liu zi guo
彼留子嗟	bi liu zi jie
彼路斯何	bi lu si he
彼陆何	bi lu he
彼陆之子	bi lu zhi zi
彼论藏	bi lun cang
彼论藏有十支归一本瑜伽师	bi lun cang you shi zhi gui yi ben yu ga shi
彼洛平	bi luo ping
彼洛彤	bi luo tong
彼洛彤赖氨酸氯化钠	bi luo tong lai an suan lv hua na
彼羅斯	bi luo si
彼甿居险所产薄	bi mang ju xian suo chan bo
彼美不琢雕	bi mei bu zhuo diao
彼美参卿事	bi mei can qing shi
彼美称才杰	bi mei cheng cai jie
彼美大栏君	bi mei da lan jun
彼美符商政	bi mei fu shang zheng
彼美公之姓兮	bi mei gong zhi xing xi
彼美何壮哉	bi mei he zhuang zai
彼美回清镜	bi mei hui qing jing
彼美金石分	bi mei jin shi fen
彼美君家菜	bi mei jun jia cai
彼美孟姜	bi mei meng jiang
彼美佞邪子	bi mei ning xie zi
彼美人兮	bi mei ren xi
彼美石淙庄	bi mei shi cong zhuang
彼美叔姬	bi mei shu ji
彼美淑姬	bi mei shu ji
彼美淑人	bi mei shu ren
彼美要殊观	bi mei yao shu guan
彼美犹谿女	bi mei you xi nv
彼美玉山果	bi mei yu shan guo
彼美子刘	bi mei zi liu
彼猛毒兮曹聚	bi meng du xi cao ju
彼米国际咨询服务有限公司	bi mi guo ji zi xun fu wu you xian gong si
彼免狐貉厄	bi mian hu hao e
彼免狐貉厄	bi mian hu he e
彼民安知方禄仕	bi min an zhi fang lu shi
彼民有常性	bi min you chang xing
彼名流兮左氏癖	bi ming liu xi zuo shi pi
彼莫能相仍	bi mo neng xiang reng
彼木生何代	bi mu sheng he dai
彼母皆百依百随	bi mu jie bai yi bai sui
彼乃登台	bi nai deng tai
彼乃可使令	bi nai ke shi ling
彼乃宁府长孙	bi nai ning fu zhang sun
彼宁可隳	bi ning ke hui
彼诺修	bi nuo xiu
彼女子	bi nv zi
彼菩萨等	bi pu sa deng
彼其不同臭味	bi qi bu tong chou wei
彼其充实	bi qi chong shi
彼其道幽远而无人	bi qi dao you yuan er wu ren
彼其道远而险	bi qi dao yuan er xian
彼其得志兮	bi qi de zhi xi
彼其乎归居	bi qi hu gui ju
彼其受之天也	bi qi shou zhi tian ye
彼其所殉	bi qi suo xun
彼其所殉仁义也	bi qi suo xun ren yi ye
彼其所以会之	bi qi suo yi hui zhi
彼其外与	bi qi wai yu
彼其物无测	bi qi wu wu ce
彼其物无测而人皆以为有极	bi qi wu wu ce er ren jie yi wei you ji
彼其物无穷	bi qi wu wu qiong
彼其物无穷而人皆以为有终	bi qi wu wu qiong er ren jie yi wei you zhong
彼其于世	bi qi yu shi
彼其真是也	bi qi zhen shi ye
彼其之子	bi qi zhi zi
彼岂不大观	bi qi bu da guan
彼岂敬寂灭	bi qi jing ji mie
彼岐有岨	bi qi you ju
彼岐有岨	bi qi you qu
彼弃我取	bi qi wo qu
彼欺以自私	bi qi yi zi si
彼前	bi qian
彼前有无相违故	bi qian you wu xiang wei gu
彼愆可贳死	bi qian ke shi si
彼潜君兮圣且神	bi qian jun xi sheng qie shen
彼牵牛	bi qian niu
彼强阳则我与之强阳	bi qiang yang ze wo yu zhi qiang yang
彼强自保	bi qiang zi bao
彼且乘人而无天	bi qie cheng ren er wu tian
彼且恶乎待哉	bi qie e hu dai zai
彼且何肯以物为事乎	bi qie he ken yi wu wei shi hu
彼且蕲以皎诡幻怪之名闻	bi qie qi yi jiao gui huan guai zhi ming wen
彼且为无町畦	bi qie wei wu ding qi
彼且为无崖	bi qie wei wu ya
彼且为婴儿	bi qie wei ying er
彼且奚适也	bi qie xi shi ye
彼且以蕲以	bi qie yi qi yi
彼且以丘为佞人也	bi qie yi qiu wei ning ren ye
彼且择日而登假	bi qie ze ri er deng jia
彼窃钩者诛	bi qie gou zhe zhu
彼求我事支传干	bi qiu wo shi zhi chuan gan
彼求我则	bi qiu wo ze
彼秋之忿	bi qiu zhi fen
彼曲既在斯	bi qu ji zai si
彼然而伐之也	bi ran er fa zhi ye
彼人含其明	bi ren han qi ming
彼人莫我知	bi ren mo wo zhi
彼人丧命具有极大罪	bi ren sang ming ju you ji da zui
彼人是哉	bi ren shi zai
彼人视身若枯木	bi ren shi shen ruo ku mu
彼人之心	bi ren zhi xin
彼仁人何其多忧也	bi ren ren he qi duo you ye
彼日月兮闇昧	bi ri yue xi an mei
彼日月之照明兮	bi ri yue zhi zhao ming xi
彼日之差	bi ri zhi cha
彼如何破坏	bi ru he po huai
彼如君子心	bi ru jun zi xin
彼如曰	bi ru yue
彼塞灰蝶	bi sai hui die
彼赛宁	bi sai ning
彼三何者均非量	bi san he zhe jun fei liang
彼上半半而递增	bi shang ban ban er di zeng
彼上诸天无量殿	bi shang zhu tian wu liang dian
彼审乎禁过	bi shen hu jin guo
彼身织屦	bi shen zhi ju
彼圣人者	bi sheng ren zhe
彼圣人之神德兮	bi sheng ren zhi shen de xi
彼生坎兮可谢	bi sheng kan xi ke xie
彼生起之量	bi sheng qi zhi liang
彼生相属	bi sheng xiang shu
彼世光晕	bi shi guang yun
彼事如同业道也	bi shi ru tong ye dao ye
彼什科夫	bi shi ke fu
彼士龊龊何能任	bi shi chuo chuo he neng ren
彼实博徒	bi shi bo tu
彼时宝玉迷迷惑惑	bi shi bao yu mi mi huo huo
彼时宝玉尚未作完	bi shi bao yu shang wei zuo wan
彼时宝玉姊妹们也都在这里坐着	bi shi bao yu zi mei men ye dou zai zhe li zuo zhe
彼时不能答	bi shi bu neng da
彼时此景	bi shi ci jing
彼时黛玉才在窗下对镜理妆	bi shi dai yu cai zai chuang xia dui jing li zhuang
彼时何卒卒	bi shi he cu cu
彼时何卒卒	bi shi he zu zu
彼时合家皆知	bi shi he jia jie zhi
彼时惠能在厨房碓米	bi shi hui neng zai chu fang dui mi
彼时贾代儒代领贾敕	bi shi jia dai ru dai ling jia chi
彼时贾珍带贾蓉来到诸长辈前	bi shi jia zhen dai jia rong lai dao zhu zhang bei qian
彼时贾政见贾母气未全消	bi shi jia zheng jian jia mu qi wei quan xiao
彼时贾政已看了妹丈之书	bi shi jia zheng yi kan le mei zhang zhi shu
彼时戒染过患毁戒律	bi shi jie ran guo huan hui jie lv
彼时来回话者不少	bi shi lai hui hua zhe bu shao
彼时李嬷嬷等已进来了	bi shi li mo mo deng yi jin lai le
彼时李纨犹病在床上	bi shi li wan you bing zai chuang shang
彼时虽有军民来救	bi shi sui you jun min lai jiu
彼时亦无生	bi shi yi wu sheng
彼时赵嬷嬷已听呆了话	bi shi zhao mo mo yi ting dai le hua
彼时正月内	bi shi zheng yue nei
彼是方生之说也	bi shi fang sheng zhi shuo ye
彼是莫得其偶	bi shi mo de qi ou
彼是相因	bi shi xiang yin
彼氏矮长颌鱼	bi shi ai chang he yu
彼氏凹腹鳕	bi shi ao fu xue
彼氏螯蜂	bi shi ao feng
彼氏冰鰕虎鱼	bi shi bing xia hu yu
彼氏粗口鲻	bi shi cu kou zi
彼氏单棘豹鲂鮄	bi shi dan ji bao fang fu
彼氏单爪螯蜂	bi shi dan zhua ao feng
彼氏非洲攀鲈	bi shi fei zhou pan lu
彼氏副矛	bi shi fu mao
彼氏复齿脂鲤	bi shi fu chi zhi li
彼氏高鳍鲂	bi shi gao qi fang
彼氏高身丽鱼	bi shi gao shen li yu
彼氏江颌针鱼	bi shi jiang he zhen yu
彼氏眶棘鲈	bi shi kuang ji lu
彼氏毛口鲶	bi shi mao kou nian
彼氏牛肝菌	bi shi niu gan jun
彼氏魮	bi shi pi
彼氏旗鳉	bi shi qi jiang
彼氏跳岩鳚	bi shi tiao yan wei
彼氏鹦鹉	bi shi ying wu
彼氏锥颌象鼻鱼	bi shi zhui he xiang bi yu
彼视三釜	bi shi san fu
彼视三釜三千钟	bi shi san fu san qian zhong
彼视渊若陵	bi shi yuan ruo ling
彼受其福	bi shou qi fu
彼姝者子	bi shu zhe zi
彼疏斯粺	bi shu si bai
彼竖翅弄蝶	bi shu chi nong die
彼黍既洁	bi shu ji jie
彼黍离离	bi shu li li
彼鼠侵我厨	bi shu qin wo chu
彼水何潺潺	bi shui he chan chan
彼说长	bi shuo chang
彼说长此说短不关己	bi shuo chang ci shuo duan bu guan ji
彼司瑞	bi si rui
彼斯堡	bi si bao
彼俗媚文史	bi su mei wen shi
彼燧人氏初何功	bi sui ren shi chu he gong
彼虽幼	bi sui you
彼虽有求来	bi sui you qiu lai
彼所渧水	bi suo ti shui
彼所谓豪杰之士也	bi suo wei hao jie zhi shi ye
彼所小言	bi suo xiao yan
彼所执刀杖	bi suo zhi dao zhang
彼特	bi te
彼特和万迪	bi te he wan di
彼特拉吉瞭望台	bi te la ji liao wang tai
彼特拉吉食堂	bi te la ji shi tang
彼特拉吉之息	bi te la ji zhi xi
彼特拉克	bi te la ke
彼特卢辛	bi te lu xin
彼特麦克	bi te mai ke
彼特曼	bi te man
彼特曼公	bi te man gong
彼特曼公寓	bi te man gong yu
彼特以天为父	bi te yi tian wei fu
彼同分	bi tong fen
彼童而角	bi tong er jiao
彼童子之师	bi tong zi zhi shi
彼土何故名为极乐	bi tu he gu ming wei ji le
彼土利	bi tu li
彼土利生利百加	bi tu li sheng li bai jia
彼土菩萨众	bi tu pu sa zhong
彼徒创寺意	bi tu chuang si yi
彼徒辛苦吾差乐	bi tu xin ku wu cha le
彼妥	bi tuo
彼万流之混入兮	bi wan liu zhi hun ru xi
彼往则我与之往	bi wang ze wo yu zhi wang
彼王纣之躬	bi wang zhou zhi gong
彼网有条	bi wang you tiao
彼为本末非本末	bi wei ben mo fei ben mo
彼为己	bi wei ji
彼为积散非积散也	bi wei ji san fei ji san ye
彼为内海边三倍	bi wei nei hai bian san bei
彼为清净天尊相	bi wei qing jing tian zun xiang
彼为实语者	bi wei shi yu zhe
彼为衰杀非衰杀	bi wei shuai sha fei shuai sha
彼为盈虚非盈虚	bi wei ying xu fei ying xu
彼唯人言之恶闻	bi wei ren yan zhi e wen
彼威尔	bi wei er
彼微水中荇	bi wei shui zhong xing
彼未知夫无方之传	bi wei zhi fu wu fang zhi chuan
彼维何	bi wei he
彼蔚者竹	bi wei zhe zhu
彼翁羽翼成	bi weng yu yi cheng
彼卧晏未兴	bi wo yan wei xing
彼我俱若丧	bi wo ju ruo sang
彼我君若丧	bi wo jun ruo sang
彼兀者也	bi wu zhe ye
彼勿起	bi wu qi
彼勿起宽为限紧用功	bi wu qi kuan wei xian jin yong gong
彼吴之墟	bi wu zhi xu
彼无爱甑心	bi wu ai zeng xin
彼无故以合者	bi wu gu yi he zhe
彼无书	bi wu shu
彼无为谓真是也	bi wu wei wei zhen shi ye
彼物	bi wu
彼物皆有托	bi wu jie you tuo
彼希客星隐	bi xi ke xing yin
彼息氏	bi xi shi
彼西丹醇	bi xi dan chun
彼西底	bi xi di
彼仙府兮深且幽	bi xian fu xi shen qie you
彼先	bi xian
彼现本体空性故	bi xian ben ti kong xing gu
彼现法性隐彼没法性现	bi xian fa xing yin bi mei fa xing xian
彼陷溺其民	bi xian ni qi min
彼乡有令弟	bi xiang you ling di
彼心非有非无者	bi xin fei you fei wu zhe
彼心恒不住	bi xin heng bu zhu
彼欣	bi xin
彼辛斯	bi xin si
彼行安可涯	bi xing an ke ya
彼嗅一何酷	bi xiu yi he ku
彼亚吉欧	bi ya ji ou
彼扬马之徒	bi yang ma zhi tu
彼氧磷	bi yang lin
彼阳耗牛骨髓壮骨粉	bi yang hao niu gu sui zhuang gu fen
彼妖精兮变怪	bi yao jing xi bian guai
彼尧舜之耿介兮	bi yao shun zhi geng jie xi
彼也易灭没	bi ye yi mie mo
彼一不能独自成	bi yi bu neng du zi cheng
彼一独自不能成	bi yi du zi bu neng cheng
彼一时	bi yi shi
彼一时此一时	bi yi shi ci yi shi
彼亦何尝争	bi yi he chang zheng
彼亦居下此在前	bi yi ju xia ci zai qian
彼亦是也	bi yi shi ye
彼亦孰知丘	bi yi shu zhi qiu
彼亦一时	bi yi yi shi
彼亦一是非	bi yi yi shi fei
彼亦有壶浆	bi yi you hu jiang
彼亦愿心思利众	bi yi yuan xin si li zhong
彼亦直寄焉	bi yi zhi ji yan
彼亦自诩已证悟	bi yi zi xu yi zheng wu
彼以爱兄之道来	bi yi ai xiong zhi dao lai
彼以八者以上成	bi yi ba zhe yi shang cheng
彼以坚苦忍耐之力	bi yi jian ku ren nai zhi li
彼以利合	bi yi li he
彼以浓艳损志	bi yi nong yan sun zhi
彼以其富	bi yi qi fu
彼以其爵	bi yi qi jue
彼以生为附赘县疣	bi yi sheng wei fu zhui xian you
彼以生为附赘县疣	bi yi sheng wei fu zhui xuan you
彼以生为附赘悬疣	bi yi sheng wei fu zhui xuan you
彼以煦煦为仁	bi yi xu xu wei ren
彼以至少合贵重	bi yi zhi shao he gui zhong
彼仪既泽	bi yi ji ze
彼依识所变	bi yi shi suo bian
彼宜女与予颐与	bi yi nv yu yu yi yu
彼宜有罪	bi yi you zui
彼已尽矣	bi yi jin yi
彼已舍贪故	bi yi she tan gu
彼因稀见贵	bi yin xi jian gui
彼引二谛一味性	bi yin er di yi wei xing
彼隐山万曲	bi yin shan wan qu
