带潮蛛	dai chao zhu
带控制点	dai kong zhi dian
带空心销轴的滚子链	dai kong xin xiao zhou de gun zi lian
带口语	dai kou yu
带扣	dai kou
带扣碗	dai kou wan
带扣无针缆索钛合金	dai kou wu zhen lan suo tai he jin
带库	dai ku
带胯	dai kua
带跨体正方	dai kua ti zheng fang
带快	dai kuai
带宽	dai kuan
带宽保护	dai kuan bao hu
带宽扩展比	dai kuan kuo zhan bi
带宽扩展因子	dai kuan kuo zhan yin zi
带宽累加法则	dai kuan lei jia fa ze
带宽衫解领	dai kuan shan jie ling
带宽速率	dai kuan su lv
带宽尾灰蝶	dai kuan wei hui die
带宽银祝蛾	dai kuan yin zhu e
带款	dai kuan
带框	dai kuang
带框眼镜	dai kuang yan jing
带盔螋	dai kui sou
带困觉	dai kun jiao
带来	dai lai
带来按	dai lai an
带来昂	dai lai ang
带来白昼带来光明	dai lai bai zhou dai lai guang ming
带来冲击	dai lai chong ji
带来洞主	dai lai dong zhu
带来洞主统攻防智政	dai lai dong zhu tong gong fang zhi zheng
带来洞主信息卓权坚策术	dai lai dong zhu xin xi zhuo quan jian ce shu
带来洞主侦	dai lai dong zhu zhen
带来洞主卓权坚策术	dai lai dong zhu zhuo quan jian ce shu
带来给你	dai lai gei ni
带来给你打电话	dai lai gei ni da dian hua
带来给我抄	dai lai gei wo chao
带来更多惊喜	dai lai geng duo jing xi
带来更多商机	dai lai geng duo shang ji
带来极大的好处	dai lai ji da de hao chu
带来家	dai lai jia
带来了	dai lai le
带来平衡	dai lai ping heng
带来撒	dai lai sa
带来闪光的是雪还是神	dai lai shan guang de shi xue hai shi shen
带来收入的部门	dai lai shou ru de bu men
带来我房间	dai lai wo fang jian
带来幸运的机理	dai lai xing yun de ji li
带来一丝暖意	dai lai yi si nuan yi
带来震撼	dai lai zhen han
带来最大的	dai lai zui da de
带缆辅助索	dai lan fu zhu suo
带缆羊角	dai lan yang jiao
带缆桩	dai lan zhuang
带蓝花花的白裙子	dai lan hua hua de bai qun zi
带朗格	dai lang ge
带老子	dai lao zi
带了不同程度的	dai le bu tong cheng du de
带了打十番的那里吃酒去了	dai le da shi fan de na li chi jiu qu le
带了伐	dai le fa
带了好几遍	dai le hao ji bian
带了几发炮弹	dai le ji fa pao dan
带了几个人来	dai le ji ge ren lai
带了几个小厮	dai le ji ge xiao si
带了贾菌来了	dai le jia jun lai le
带了科杆忘了蛇丢三拉四	dai le ke gan wang le she diu san la si
带了来	dai le lai
带了赖升一干家人媳妇出城	dai le lai sheng yi gan jia ren xi fu chu cheng
带了六个媳妇	dai le liu ge xi fu
带了冒	dai le mao
带了钱包	dai le qian bao
带了去	dai le qu
带了伞	dai le san
带了十好几天	dai le shi hao ji tian
带了他来的	dai le ta lai de
带了哇	dai le wa
带了文官等十二个人	dai le wen guan deng shi er ge ren
带了五儿来回李纨与探春	dai le wu er lai hui li wan yu tan chun
带了小丫头们走来	dai le xiao ya tou men zou lai
带了些花翠	dai le xie hua cui
带了许多小太监出来	dai le xu duo xiao tai jian chu lai
带了学不高	dai le xue bu gao
带了呀	dai le ya
带了阴阳司吏	dai le yin yang si li
带勒里	dai le li
带泪的鱼	dai lei de yu
带泪梨花	dai lei li hua
带泪梨花之美丽重生	dai lei li hua zhi mei li chong sheng
带累	dai lei
带累了她受屈	dai lei le ta shou qu
带肋	dai lei
带肋钢筋	dai lei gang jin
带利	dai li
带利剑	dai li jian
带厉	dai li
带沥水板洗涤盆	dai li shui ban xi di pen
带砺大江雄	dai li da jiang xiong
带砺河山	dai li he shan
带砺山河	dai li shan he
带砺山河在	dai li shan he zai
带礼拜	dai li bai
带礼拜了	dai li bai le
带离子侧基的聚乙烯	dai li zi ce ji de ju yi xi
带立式放线盘的在线拉线机	dai li shi fang xian pan de zai xian la xian ji
带里	dai li
带里面	dai li mian
带鳢	dai li
带联锁主轴	dai lian suo zhu zhou
带连弧斑翅实蝇	dai lian hu ban chi shi ying
带连接板焊接	dai lian jie ban han jie
带连接器的电缆	dai lian jie qi de dian lan
带链	dai lian
带链灰蝶	dai lian hui die
带两个回来	dai liang ge hui lai
带两个小童	dai liang ge xiao tong
带两披间	dai liang pi jian
带亮	dai liang
带亮窗	dai liang chuang
带亮的	dai liang de
带凉皮	dai liang pi
带量	dai liang
带量穿越	dai liang chuan yue
带劣胜应身	dai lie sheng ying shen
带猎蛛	dai lie zhu
带裂槽的扁电缆	dai lie cao de bian dian lan
带林	dai lin
带琳灰蝶	dai lin hui die
带鳞片的硬皮	dai lin pian de ying pi
带令	dai ling
带岭	dai ling
带岭当归	dai ling dang gui
带岭街道	dai ling jie dao
带岭林业和草原局	dai ling lin ye he cao yuan ju
带岭区	dai ling qu
带岭茹夜蛾	dai ling ru ye e
带岭薹草	dai ling tai cao
带岭蹄盖蕨	dai ling ti gai jue
带岭乌头	dai ling wu tou
带岭新松叶蜂	dai ling xin song ye feng
带菱瘤蝽	dai ling liu chun
带铃鹁鸽	dai ling bo ge
带铃腹胡蜂	dai ling fu hu feng
带零小叶蝉	dai ling xiao ye chan
带领	dai ling
带领部员	dai ling bu yuan
带领短袖男	dai ling duan xiu nan
带领管状接骨板	dai ling guan zhuang jie gu ban
带领几个人往埃及去	dai ling ji ge ren wang ai ji qu
带领妻子姬妾	dai ling qi zi ji qie
带领千军的各军长	dai ling qian jun de ge jun zhang
带领十来个婆子上夜	dai ling shi lai ge po zi shang ye
带领他们经过深处	dai ling ta men jing guo shen chu
带领我归家	dai ling wo gui jia
带领五十人去见以利亚	dai ling wu shi ren qu jian yi li ya
带领新春一并回	dai ling xin chun yi bing hui
带领选民欢呼前往	dai ling xuan min huan hu qian wang
带领丫鬟出来	dai ling ya huan chu lai
带领夜猴	dai ling ye hou
带领以色列的几个长老	dai ling yi se lie de ji ge zhang lao
带领园中上夜人等	dai ling yuan zhong shang ye ren deng
带领着来管家两个儿子	dai ling zhe lai guan jia liang ge er zi
带领着众人进宫朝贺行礼	dai ling zhe zhong ren jin gong chao he xing li
带领众道士在路旁请安	dai ling zhong dao shi zai lu pang qing an
带领众人齐往园中来	dai ling zhong ren qi wang yuan zhong lai
带领众子侄开祠堂	dai ling zhong zi zhi kai ci tang
带六朝格	dai liu chao ge
带六角垫圈螺钉	dai liu jiao dian quan luo ding
带柳木蠹蛾寄蝇	dai liu mu du e ji ying
带柳丝	dai liu si
带留言	dai liu yan
带瘤祝蛾	dai liu zhu e
带笼子	dai long zi
带龙带	dai long dai
带龙骨的肩盂假体	dai long gu de jian yu jia ti
带喽	dai lou
带楼下	dai lou xia
带漏洞的黑屏	dai lou dong de hei ping
带漏洞的黑屏工具	dai lou dong de hei ping gong ju
带碌	dai lu
带路	dai lu
带路冲	dai lu chong
带路分级	dai lu fen ji
带路机	dai lu ji
带路居食屋	dai lu ju shi wu
带路人	dai lu ren
带路上	dai lu shang
带露全移缀水精	dai lu quan yi zhui shui jing
带露如珠缀	dai lu ru zhu zhui
带露台	dai lu tai
带轮	dai lun
带轮毂链轮	dai lun gu lian lun
带螺	dai luo
带螺母锚	dai luo mu mao
带螺栓	dai luo shuan
带螺纹长螺钉	dai luo wen chang luo ding
带螺纹导引钢针	dai luo wen dao yin gang zhen
带螺纹的定位针	dai luo wen de ding wei zhen
带螺纹钻尖骨针	dai luo wen zuan jian gu zhen
带锣	dai luo
带绿荔枝	dai lv li zhi
带玛拉水母	dai ma la shui mu
带马	dai ma
带马格	dai ma ge
带马行	dai ma hang
带马赛克的	dai ma sai ke de
带马桶坐大堂赃脏官	dai ma tong zuo da tang zang zang guan
带马行	dai ma xing
带骂人	dai ma ren
带埋我	dai mai wo
带脉	dai mai
带脉本神	dai mai ben shen
带脉不引	dai mai bu yin
带脉承灵	dai mai cheng ling
带脉浮白	dai mai fu bai
带脉光明	dai mai guang ming
带脉龙玄	dai mai long xuan
带脉目窗	dai mai mu chuang
带脉脑空	dai mai nao kong
带脉曲泉	dai mai qu quan
带脉天冲	dai mai tian chong
带脉外丘	dai mai wai qiu
带脉完骨	dai mai wan gu
带脉围腰一周	dai mai wei yao yi zhou
带脉维道	dai mai wei dao
带脉五枢	dai mai wu shu
带脉悬钟	dai mai xuan zhong
带脉穴	dai mai xue
带脉阳白	dai mai yang bai
带脉正营	dai mai zheng ying
带麦	dai mai
带满月	dai man yue
带忙	dai mang
带忙死了	dai mang si le
带盲异蝽	dai mang yi chun
带芒天牛	dai mang tian niu
带卯的铜座二十个	dai mao de tong zuo er shi ge
带卯的座和院子的门帘	dai mao de zuo he yuan zi de men lian
带卯的座要用铜做	dai mao de zuo yao yong tong zuo
带帽	dai mao
带帽背心男	dai mao bei xin nan
带帽带垫螺栓	dai mao dai dian luo shuan
带帽风衣男	dai mao feng yi nan
带帽皮衣男	dai mao pi yi nan
带帽外套男	dai mao wai tao nan
带帽卫衣薄款男	dai mao wei yi bo kuan nan
带帽卫衣男	dai mao wei yi nan
带帽卫衣男薄款	dai mao wei yi nan bo kuan
带毛病	dai mao bing
带毛领	dai mao ling
带毛囊皮瓣移植术	dai mao nang pi ban yi zhi shu
带毛囊游离皮肤移植术	dai mao nang you li pi fu yi zhi shu
带毛靴	dai mao xue
带么斯	dai me si
带美冬夜蛾	dai mei dong ye e
带美苔蛾	dai mei tai e
带美眼蚬蝶	dai mei yan xian die
带门口	dai men kou
带门市	dai men shi
带门头	dai men tou
带面	dai mian
带面皮	dai mian pi
带铭	dai ming
带磨	dai mo
带木蠹象	dai mu du xiang
带目	dai mu
带目格	dai mu ge
带哪彪义制	dai na biao yi zhi
带哪滴	dai na di
带哪儿	dai na er
带哪哈	dai na ha
带哪了	dai na le
带哪里	dai na li
带哪里啊	dai na li a
带哪里吃	dai na li chi
带哪里了	dai na li le
带哪里撒	dai na li sa
带娜灰蝶	dai na hui die
带拿来	dai na lai
带拿扎头	dai na zha tou
带那边	dai na bian
带那的	dai na de
带那多	dai na duo
带那和	dai na he
带那家	dai na jia
带那你	dai na ni
带那些	dai na xie
带奶粉	dai nai fen
带南昌	dai nan chang
带南京	dai nan jing
带闹	dai nao
带呢了	dai ne le
带呢咋	dai ne za
带内插入损耗	dai nei cha ru sun hao
带内传输	dai nei chuan shu
带内传送	dai nei chuan song
带内管理	dai nei guan li
带内数据通道	dai nei shu ju tong dao
带内通信	dai nei tong xin
带内网管	dai nei wang guan
带内网管通道	dai nei wang guan tong dao
带内谐波	dai nei xie bo
带内信令	dai nei xin ling
带内行星	dai nei xing xing
带内组网	dai nei zu wang
带恁	dai nen
带你把点去	dai ni ba dian qu
带你奔月	dai ni ben yue
带你吃大餐	dai ni chi da can
带你吃个	dai ni chi ge
带你吃好好	dai ni chi hao hao
带你冲	dai ni chong
带你带	dai ni dai
带你当朋友	dai ni dang peng you
带你到不愿意去的地方	dai ni dao bu yuan yi qu de di fang
带你到以色列的山上	dai ni dao yi se lie de shan shang
带你到专职	dai ni dao zhuan zhi
带你地	dai ni di
带你兜风去	dai ni dou feng qu
带你分	dai ni fen
带你副本	dai ni fu ben
带你搞	dai ni gao
带你换	dai ni huan
带你介绍	dai ni jie shao
带你介绍个	dai ni jie shao ge
带你克	dai ni ke
带你买	dai ni mai
带你买的	dai ni mai de
带你买个	dai ni mai ge
带你买了	dai ni mai le
带你哪里	dai ni na li
带你弄	dai ni nong
带你拍	dai ni pai
带你去吃香喝辣	dai ni qu chi xiang he la
带你去兜风	dai ni qu dou feng
带你去逛街	dai ni qu guang jie
带你去旅游吧	dai ni qu lv you ba
带你去探班	dai ni qu tan ban
带你揉揉	dai ni rou rou
带你食野咯	dai ni shi ye ge
带你送	dai ni song
带你娃	dai ni wa
带你玩的	dai ni wan de
带你玩么	dai ni wan me
带你问	dai ni wen
带你问问	dai ni wen wen
带你屋里	dai ni wu li
带你洗	dai ni xi
带你一把	dai ni yi ba
带你一个	dai ni yi ge
带你以后	dai ni yi hou
带你仔	dai ni zai
带你找	dai ni zhao
带你装逼带你飞	dai ni zhuang bi dai ni fei
带你走进山新和新月冰冰闺房	dai ni zou jin shan xin he xin yue bing bing gui fang
带尼	dai ni
带拟隆头鱼	dai ni long tou yu
带泥鳉	dai ni jiang
带泥窝	dai ni wo
带泥小手多自由	dai ni xiao shou duo zi you
带年费	dai nian fei
带尿管	dai niao guan
带尿壶	dai niao hu
带捏里	dai nie li
带蘖	dai nie
带蘖数	dai nie shu
带蘖壮秧	dai nie zhuang yang
带妞	dai niu
带扭管式储线器的绞制机	dai niu guan shi chu xian qi de jiao zhi ji
带扭斜	dai niu xie
带牛郎	dai niu lang
带牛佩犊	dai niu pei du
带牛佩犊吏所诃	dai niu pei du li suo he
带牛佩犊吏所诃故将换砚岂无意	dai niu pei du li suo he gu jiang huan yan qi wu yi
带弄	dai nong
带弄么	dai nong me
带努力	dai nu li
带暖	dai nuan
带女	dai nv
带女女	dai nv nv
带女娃	dai nv wa
带牌子呗	dai pai zi bei
带盘放完报警装置	dai pan fang wan bao jing zhuang zhi
带盘根套筒	dai pan gen tao tong
带盘红鼹鼠	dai pan hong yan shu
带盘装运车	dai pan zhuang yun che
带袢钛板	dai pan tai ban
带旁边	dai pang bian
带旁核	dai pang he
带培尼天牛	dai pei ni tian niu
带配重手柄	dai pei zhong shou bing
带喷头的墨盒	dai pen tou de mo he
带喷嘴的油泵	dai pen zui de you beng
带棚矿车	dai peng kuang che
带坯	dai pi
带坯连铸机	dai pi lian zhu ji
带皮材积	dai pi cai ji
带皮蚕豆肉	dai pi can dou rou
带皮独头蒜	dai pi du tou suan
带皮儿	dai pi er
带皮黑山羊	dai pi hei shan yang
带皮黄牛肉	dai pi huang niu rou
带皮老姜	dai pi lao jiang
带皮马蹄	dai pi ma ti
带皮套	dai pi tao
带皮莴笋	dai pi wo sun
带皮五花肉	dai pi wu hua rou
带便宜	dai pian yi
带偏顶蛤	dai pian ding ge
带偏距胫骨加强螺栓	dai pian ju jing gu jia qiang luo shuan
带偏斜	dai pian xie
带偏心距人工半肩关节	dai pian xin ju ren gong ban jian guan jie
带票	dai piao
带票子	dai piao zi
带飘窗	dai piao chuang
带拼接	dai pin jie
带屏风边柜	dai ping feng bian gui
带平衡锤的罐笼	dai ping heng chui de guan long
带平衡液柱活塞式压力计	dai ping heng ye zhu huo sai shi ya li ji
带平鲉	dai ping you
带坡天牛	dai po tian niu
带谱分析	dai pu fen xi
带气泵	dai qi beng
带起带	dai qi dai
带起你	dai qi ni
带起我	dai qi wo
带鮨	dai qi
带鳍三鳍鳚	dai qi san qi wei
带鳍鹦嘴鱼	dai qi ying zui yu
带前张力轧机	dai qian zhang li zha ji
带强度	dai qiang du
带枪	dai qiang
带枪的男人	dai qiang de nan ren
带枪的人	dai qiang de ren
带枪过境	dai qiang guo jing
带枪入境	dai qiang ru jing
带桥如断虹	dai qiao ru duan hong
带鞘固定螺钉	dai qiao gu ding luo ding
带鞘灰蝶	dai qiao hui die
带鞘箭竹	dai qiao jian zhu
带鞘植绥螨	dai qiao zhi sui man
带切刀的光辊	dai qie dao de guang gun
带挈	dai qie
带亲	dai qin
带亲吧	dai qin ba
带亲不	dai qin bu
带亲的	dai qin de
带亲了	dai qin le
带亲死了	dai qin si le
带亲样	dai qin yang
带寝室	dai qin shi
带青岛	dai qing dao
带丘墓	dai qiu mu
带球	dai qiu
带球端摇把	dai qiu duan yao ba
带球过人	dai qiu guo ren
带球函数	dai qiu han shu
带球内切	dai qiu nei qie
带球上篮	dai qiu shang lan
带球速度	dai qiu su du
带球突破	dai qiu tu po
带球转身	dai qiu zhuan shen
带球撞人	dai qiu zhuang ren
带球撞人犯规	dai qiu zhuang ren fan gui
带球走步	dai qiu zou bu
带去稽山看鉴湖	dai qu ji shan kan jian hu
带去家	dai qu jia
带去木	dai qu mu
带去学	dai qu xue
带驱动设备	dai qu dong she bei
带权并查集	dai quan bing cha ji
带权二分图匹配	dai quan er fen tu pi pei
带缺乏	dai que fa
带群里	dai qun li
带裙紧身裤	dai qun jin shen ku
带裙绡蝶	dai qun xiao die
带娆灰蝶	dai rao hui die
带绕包包带	dai rao bao bao dai
带绕式牵引轮	dai rao shi qian yin lun
带绕铁心	dai rao tie xin
带热死	dai re si
带热死了	dai re si le
带人	dai ren
带人进帮的	dai ren jin bang de
带人品	dai ren pin
带人亲	dai ren qin
带人情	dai ren qing
带人去光顾一下	dai ren qu guang gu yi xia
带人群修罗	dai ren qun xiu luo
带刃	dai ren
带刃的	dai ren de
带刃尖嘴钳	dai ren jian zui qian
带刃双拐	dai ren shuang guai
带认股证债券	dai ren gu zheng zhai quan
带日浮寒影	dai ri fu han ying
带日斜看目精热	dai ri xie kan mu jing re
带熔断器式	dai rong duan qi shi
带熔断器式刀型开关	dai rong duan qi shi dao xing kai guan
带绒的吗	dai rong de ma
带肉多	dai rou duo
带入口	dai ru kou
带入旁边	dai ru pang bian
带蚋	dai rui
带弱露黄鹂	dai ruo lu huang li
带三个皇冠	dai san ge huang guan
带三鳍鳚	dai san qi wei
带伞的	dai san de
带伞好累的	dai san hao lei de
带伞了么	dai san le me
带伞了没有啊	dai san le mei you a
带伞冒	dai san mao
带散热片的	dai san re pian de
带色的	dai se de
带色雾翳	dai se wu yi
带啥不	dai sha bu
带杀	dai sha
带沙龙虱	dai sha long shi
带纱	dai sha
带纱铝合金窗	dai sha lv he jin chuang
带纱门	dai sha men
带纱门连窗框	dai sha men lian chuang kuang
带纱扇	dai sha shan
带纱塑钢窗	dai sha su gang chuang
带纱镶板门	dai sha xiang ban men
带晒	dai shai
带筛	dai shai
带删除译码	dai shan chu yi ma
带山	dai shan
带栅格料斗	dai shan ge liao dou
带闪光美洲鱥	dai shan guang mei zhou gui
带上	dai shang
带上班	dai shang ban
带上长焦	dai shang chang jiao
带上的话	dai shang de hua
带上点	dai shang dian
带上海	dai shang hai
带上快	dai shang kuai
带上快门线	dai shang kuai men xian
带上了门	dai shang le men
带上亮	dai shang liang
带上麻将	dai shang ma jiang
带上么	dai shang me
带上婆婆嫁	dai shang po po jia
带上去试试	dai shang qu shi shi
带上她的眼睛	dai shang ta de yan jing
带上堂	dai shang tang
带上哇	dai shang wa
带上娃	dai shang wa
带上我的思念	dai shang wo de si nian
带上我吗	dai shang wo ma
带上我名字	dai shang wo ming zi
带上我哇	dai shang wo wa
带上找	dai shang zhao
带摄影机的人	dai she ying ji de ren
带舌片	dai she pian
带舍	dai she
带设备	dai she bei
带赊衣改制	dai she yi gai zhi
带什么电	dai shen me dian
带什么色	dai shen me se
带沈阳	dai shen yang
带身体	dai shen ti
带身子	dai shen zi
带声来蕊上	dai sheng lai rui shang
带生芼入晴云碗	dai sheng mao ru qing yun wan
