贸易大学	mao yi da xue
么看都几点了	me kan dou ji dian le
么看哈	me kan ha
么看几点了	me kan ji dian le
么看几点咧	me kan ji dian lie
么看见	me kan jian
么看见你	me kan jian ni
么看来	me kan lai
么看你	me kan ni
么看上	me kan shang
么看书	me kan shu
么看着	me kan zhe
么考	me kao
么考上	me kao shang
么克	me ke
么可能	me ke neng
么课	me ke
么空	me kong
么空调	me kong tiao
么哭	me ku
么快了	me kuai le
么困	me kun
么啦了	me la le
么啦么	me la me
么啦伤	me la shang
么啦呀	me la ya
么拉	me la
么拉么	me la me
么来	me lai
么来得及	me lai de ji
么来噶	me lai ga
么来过	me lai guo
么来来	me lai lai
么来了	me lai le
么来嘛	me lai ma
么来呢	me lai ne
么来头	me lai tou
么兰	me lan
么蓝	me lan
么朗	me lang
么郎	me lang
么牢牢	me lao lao
么老	me lao
么老汉	me lao han
么老紧	me lao jin
么老老	me lao lao
么了啊	me le a
么了来	me le lai
么了呢	me le ne
么了又	me le you
么类	me lei
么类型	me lei xing
么冷场	me leng chang
么利	me li
么力气	me li qi
么哩	me li
么理	me li
么理他	me li ta
么礼貌	me li mao
么莉	me li
么里	me li
么里时候	me li shi hou
么里镇	me li zhen
么联系	me lian xi
么联系了	me lian xi le
么脸	me lian
么连	me lian
么两天	me liang tian
么亮	me liang
么良心	me liang xin
么良心的	me liang xin de
么料峭	me liao qiao
么聊我	me liao wo
么列样列	me lie yang lie
么咧	me lie
么咧烦	me lie fan
么林	me lin
么领	me ling
么六	me liu
么六桥	me liu qiao
么六桥乡	me liu qiao xiang
么流量	me liu liang
么流量了	me liu liang le
么龙	me long
么陋	me lou
么嚧	me lu
么路	me lu
么路餐厅	me lu can ting
么路商店	me lu shang dian
么路子	me lu zi
么乱	me luan
么卵	me luan
么罗	me luo
么罗部	me luo bu
么罗部长	me luo bu zhang
么罗村	me luo cun
么罗庾	me luo yu
么落	me luo
么裸	me luo
么嘛答	me ma da
么嘛儿	me ma er
么马	me ma
么马达	me ma da
么马达么	me ma da me
么骂	me ma
么骂你	me ma ni
么麻打	me ma da
么麻达	me ma da
么买	me mai
么买过	me mai guo
么卖	me mai
么忙	me mang
么忙啥	me mang sha
么冒	me mao
么么	me me
么么拜	me me bai
么么抱	me me bao
么么测测	me me ce ce
么么茶	me me cha
么么茶茶	me me cha cha
么么哒	me me da
么么哒黑长直	me me da hei chang zhi
么么的	me me de
么么滴	me me di
么么店	me me dian
么么顶	me me ding
么么对儿	me me dui er
么么果三	me me guo san
么么憨包	me me han bao
么么何	me me he
么么黑	me me hei
么么叽	me me ji
么么鸡	me me ji
么么么就那样	me me me jiu na yang
么么么么么老婆	me me me me me lao po
么么三	me me san
么么三三	me me san san
么么羊	me me yang
么么喳喳珍珠糖水	me me zha zha zhen zhu tang shui
么么子	me me zi
么门	me men
么闷	me men
么米拉	me mi la
么面	me mian
么面子	me mian zi
么眇	me miao
么苗	me miao
么名	me ming
么名堂	me ming tang
么命	me ming
么命了	me ming le
么明	me ming
么明白	me ming bai
么明天	me ming tian
么磨	me mo
么魔小丑	me mo xiao chou
么哪	me na
么哪能	me na neng
么拿	me na
么拿手机	me na shou ji
么纳	me na
么那	me na
么那么容易	me na me rong yi
么那你看	me na ni kan
么那天	me na tian
么乃	me nai
么南	me nan
么男人	me nan ren
么囊	me nang
么孬	me nao
么脑子	me nao zi
么闹	me nao
么闹撒	me nao sa
么闹啥	me nao sha
么内	me nei
么能	me neng
么能力	me neng li
么你	me ni
么你不会	me ni bu hui
么你不是	me ni bu shi
么你的	me ni de
么你赶紧	me ni gan jin
么你个	me ni ge
么你给	me ni gei
么你给是	me ni gei shi
么你给有	me ni gei you
么你还	me ni hai
么你还不睡	me ni hai bu shui
么你还是	me ni hai shi
么你还说	me ni hai shuo
么你还要	me ni hai yao
么你好好	me ni hao hao
么你好友	me ni hao you
么你和	me ni he
么你会	me ni hui
么你回来	me ni hui lai
么你几点	me ni ji dian
么你继续	me ni ji xu
么你家	me ni jia
么你今晚	me ni jin wan
么你就	me ni jiu
么你觉得	me ni jue de
么你看的	me ni kan de
么你看嘛	me ni kan ma
么你可以	me ni ke yi
么你来	me ni lai
么你来嘛	me ni lai ma
么你两个	me ni liang ge
么你忙	me ni mang
么你忙的	me ni mang de
么你们	me ni men
么你明天	me ni ming tian
么你哪哈	me ni na ha
么你呢	me ni ne
么你是	me ni shi
么你睡嘛	me ni shui ma
么你说	me ni shuo
么你晚上	me ni wan shang
么你玩	me ni wan
么你玩的	me ni wan de
么你玩嘛	me ni wan ma
么你喜欢	me ni xi huan
么你先	me ni xian
么你现在	me ni xian zai
么你想	me ni xiang
么你要	me ni yao
么你要我	me ni yao wo
么你要咋个	me ni yao za ge
么你也	me ni ye
么你以后	me ni yi hou
么你又	me ni you
么你咋个	me ni za ge
么你在	me ni zai
么你在干嘛	me ni zai gan ma
么你早点	me ni zao dian
么你早点睡	me ni zao dian shui
么你自己	me ni zi ji
么尼	me ni
么尼玛	me ni ma
么念塞	me nian sai
么捏	me nie
么宁	me ning
么弄	me nong
么弄过	me nong guo
么弄好	me nong hao
么弄撒	me nong sa
么弄啥	me nong sha
么偶就啊	me ou jiu a
么偶遇	me ou yu
么怕	me pa
么怕是	me pa shi
么排	me pai
么牌	me pai
么牌子	me pai zi
么盘	me pan
么胖啥	me pang sha
么跑	me pao
么陪你	me pei ni
么批	me pi
么片	me pian
么片子	me pian zi
么骗你	me pian ni
么铺	me pu
么铺村	me pu cun
么铺子	me pu zi
么七	me qi
么其他	me qi ta
么气	me qi
么气么气	me qi me qi
么起来	me qi lai
么恰	me qia
么前途	me qian tu
么钱	me qian
么钱的	me qian de
么钱花	me qian hua
么钱了	me qian le
么钱买	me qian mai
么钱么	me qian me
么强	me qiang
么强其	me qiang qi
么切	me qie
么情况	me qing kuang
么情况啊	me qing kuang a
么请	me qing
么轻头	me qing tou
么求意思	me qiu yi si
么球	me qiu
么球事	me qiu shi
么去	me qu
么去成	me qu cheng
么去过	me qu guo
么去啦	me qu la
么去来	me qu lai
么去了	me qu le
么去学	me qu xue
么雀	me que
么群	me qun
么冉	me ran
么然	me ran
么让	me rang
么让我	me rang wo
么人	me ren
么人啊	me ren a
么人爱	me ren ai
么人的	me ren de
么人给	me ren gei
么人给我	me ren gei wo
么人跟我	me ren gen wo
么人管	me ren guan
么人回	me ren hui
么人接	me ren jie
么人来呢	me ren lai ne
么人了	me ren le
么人买	me ren mai
么人么	me ren me
么人呢	me ren ne
么人陪	me ren pei
么人去	me ren qu
么人说话	me ren shuo hua
么人疼	me ren teng
么人性	me ren xing
么人要	me ren yao
么人要了	me ren yao le
么人做	me ren zuo
么忍住	me ren zhu
么日	me ri
么肉	me rou
么如果	me ru guo
么卅呀	me sa ya
么撒	me sa
么撒么撒	me sa me sa
么撒事	me sa shi
么撒呀	me sa ya
么撒意思	me sa yi si
么洒	me sa
么塞	me sai
么三	me san
么伞	me san
么涩	me se
么色	me se
么色的	me se de
么啥	me sha
么啥吃	me sha chi
么啥的	me sha de
么啥事	me sha shi
么啥意思	me sha yi si
么啥做	me sha zuo
么删	me shan
么上	me shang
么上班	me shang ban
么上班啊	me shang ban a
么上班吗	me shang ban ma
么上课	me shang ke
么上了	me shang le
么上哪	me shang na
么上网	me shang wang
么伤心	me shang xin
么商量	me shang liang
么社	me she
么设	me she
么审	me shen
么甚	me shen
么神	me shen
么声	me sheng
么声音	me sheng yin
么生意	me sheng yi
么事	me shi
么事吧	me shi ba
么事波	me shi bo
么事的	me shi de
么事的话	me shi de hua
么事儿	me shi er
么事干	me shi gan
么事干了	me shi gan le
么事干么	me shi gan me
么事干呀	me shi gan ya
么事个	me shi ge
么事叫	me shi jiao
么事就好	me shi jiu hao
么事老	me shi lao
么事了	me shi le
么事咧	me shi lie
么事么	me shi me
么事没有	me shi mei you
么事你	me shi ni
么事情	me shi qing
么事撒	me shi sa
么事体	me shi ti
么事我	me shi wo
么事找事	me shi zhao shi
么事做	me shi zuo
么时	me shi
么时儿	me shi er
么时候啊	me shi hou a
么时候出来	me shi hou chu lai
么时候到	me shi hou dao
么时候过来	me shi hou guo lai
么时候好	me shi hou hao
么时候后	me shi hou hou
么时候回	me shi hou hui
么时候回来	me shi hou hui lai
么时候回来啊	me shi hou hui lai a
么时候回去	me shi hou hui qu
么时候结婚	me shi hou jie hun
么时候来	me shi hou lai
么时候来啊	me shi hou lai a
么时候去	me shi hou qu
么时候去啊	me shi hou qu a
么时候睡	me shi hou shui
么时候有空	me shi hou you kong
么时候有时间	me shi hou you shi jian
么时候走	me shi hou zou
么时间	me shi jian
么时间啊	me shi jian a
么是	me shi
么是吧	me shi ba
么是哪	me shi na
么是喃	me shi nan
么是你	me shi ni
么是什么	me shi shen me
么是要	me shi yao
么石	me shi
么视频	me shi pin
么识	me shi
么试	me shi
么食欲	me shi yu
么收	me shou
么收到	me shou dao
么瘦	me shou
么书	me shu
么输	me shu
么输啊	me shu a
么耍	me shua
么水平	me shui ping
么睡	me shui
么睡够	me shui gou
么睡好	me shui hao
么睡觉	me shui jiao
么睡了	me shui le
么睡醒	me shui xing
么睡着	me shui zhao
么谁	me shui
么说	me shuo
么说过	me shuo guo
么说话	me shuo hua
么说了	me shuo le
么说嘛	me shuo ma
么说明	me shuo ming
么说你	me shuo ni
么说撒	me shuo sa
么说啥	me shuo sha
么说完	me shuo wan
么司	me si
么司啊	me si a
么司的	me si de
么司叫	me si jiao
么司咧	me si lie
么司么昂	me si me ang
么司撒	me si sa
么四	me si
么四道	me si dao
么思	me si
么斯	me si
么斯啊	me si a
么斯带	me si dai
么斯的	me si de
么斯都	me si dou
么斯好	me si hao
么斯了	me si le
么斯咧	me si lie
么斯么斯	me si me si
么斯呢	me si ne
么斯捏	me si nie
么斯撒	me si sa
么斯在	me si zai
么怂相	me song xiang
么送	me song
么搜	me sou
么素质	me su zhi
么苏	me su
么算	me suan
么算啦	me suan la
么算了	me suan le
么所	me suo
么所以	me suo yi
么梭	me suo
么索	me suo
么他	me ta
么他们	me ta men
么他是	me ta shi
么她	me ta
么台	me tai
么台子村	me tai zi cun
么太	me tai
么态度	me tai du
么叹气	me tan qi
么滩	me tan
么谈	me tan
么谈过	me tan guo
么塘	me tang
么特	me te
么特车	me te che
么腾	me teng
么提	me ti
么天	me tian
么调	me tiao
么停	me ting
么听	me ting
么听懂	me ting dong
么听过	me ting guo
么听见	me ting jian
么听清	me ting qing
么同意	me tong yi
么通	me tong
么头	me tou
么投鬼	me tou gui
么团	me tuan
么退	me tui
么屯	me tun
么托	me tuo
么哇	me wa
么哇么	me wa me
么挖抓	me wa zhua
么瓦	me wa
么万一	me wan yi
么完	me wan
么弯	me wan
么晚安	me wan an
么晚上	me wan shang
么湾	me wan
么玩什么	me wan shen me
么玩意	me wan yi
么玩意儿	me wan yi er
么往	me wang
么忘记	me wang ji
么忘记了	me wang ji le
么忘了	me wang le
么王	me wang
么网	me wang
么网了	me wang le
么为喃	me wei nan
么为什么	me wei shen me
么位置	me wei zhi
么味	me wei
么尾	me wei
么胃口	me wei kou
么文化	me wen hua
么问	me wen
么问你	me wen ni
么问忒	me wen tei
么问题	me wen ti
么问题吧	me wen ti ba
么问我	me wen wo
么翁	me weng
么我	me wo
么我不混	me wo bu hun
么我不是	me wo bu shi
么我等哈	me wo deng ha
么我还	me wo hai
么我还不是	me wo hai bu shi
么我还是	me wo hai shi
么我就	me wo jiu
么我就是	me wo jiu shi
么我就说	me wo jiu shuo
么我克	me wo ke
么我来	me wo lai
么我两个	me wo liang ge
么我们	me wo men
么我呢	me wo ne
么我是	me wo shi
么我睡啦	me wo shui la
么我睡了	me wo shui le
么我下了	me wo xia le
么我现在	me wo xian zai
么我要	me wo yao
么我也	me wo ye
么我咋个	me wo za ge
么我咋个整	me wo za ge zheng
么我在	me wo zai
么我自己	me wo zi ji
么五	me wu
么五啊	me wu a
么屋	me wu
么媳妇	me xi fu
么希望了	me xi wang le
么戏	me xi
么戏了	me xi le
么洗	me xi
么系	me xi
么西	me xi
么下	me xia
么下班	me xia ban
么下咯	me xia ge
么下午	me xia wu
么下雨	me xia yu
么瞎	me xia
么瞎说	me xia shuo
么瞎想	me xia xiang
么先	me xian
么显示	me xian shi
么现在	me xian zai
么乡村	me xiang cun
么向	me xiang
么想到	me xiang dao
么想多	me xiang duo
么想法	me xiang fa
么想过	me xiang guo
么想好	me xiang hao
么想着	me xiang zhe
么小	me xiao
么效果	me xiao guo
么晓得	me xiao de
么消息	me xiao xi
么些	me xie
么写	me xie
么卸妆	me xie zhuang
么鞋子	me xie zi
么信	me xin
么信号	me xin hao
么信号了	me xin hao le
么心	me xin
么心么肺	me xin me fei
么心情	me xin qing
么心情了	me xin qing le
么心思	me xin si
么心思写	me xin si xie
么心思写作业	me xin si xie zuo ye
么心态	me xin tai
么兴趣	me xing qu
么型号	me xing hao
么星座	me xing zuo
么休假	me xiu jia
么秀	me xiu
么许	me xu
么学	me xue
么学我	me xue wo
么血	me xue
么亚	me ya
么呀	me ya
么堰湾	me yan wan
么岩	me yan
么眼	me yan
么眼色	me yan se
么颜色	me yan se
么颜色的	me yan se de
么养的	me yang de
么养了	me yang le
么杨	me yang
么样	me yang
么样啊	me yang a
么样安排	me yang an pai
么样吧	me yang ba
么样办	me yang ban
么样不	me yang bu
么样不行	me yang bu xing
么样吃	me yang chi
么样打	me yang da
么样的	me yang de
么样儿	me yang er
么样搞	me yang gao
么样搞得	me yang gao de
么样羙	me yang gao
么样过	me yang guo
么样好	me yang hao
么样看	me yang kan
么样克	me yang ke
么样啦	me yang la
么样来	me yang lai
么样了	me yang le
么样了撒	me yang le sa
么样列	me yang lie
么样咧	me yang lie
么样么样	me yang me yang
么样咩	me yang mie
么样呢	me yang ne
么样鸟	me yang niao
么样捏	me yang nie
么样怕	me yang pa
么样去	me yang qu
么样人	me yang ren
么样撒	me yang sa
么样睡	me yang shui
么样说	me yang shuo
么样说的	me yang shuo de
么样算	me yang suan
么样玩	me yang wan
么样想	me yang xiang
么样想的	me yang xiang de
么样写	me yang xie
么样呀	me yang ya
么样用	me yang yong
么样咋	me yang za
么样子	me yang zi
么样走	me yang zou
么阳组	me yang zu
么腰	me yao
么药	me yao
么要	me yao
么要求	me yao qiu
么要我	me yao wo
么业	me ye
么也	me ye
么也别说	me ye bie shuo
么也不管	me ye bu guan
么也不会	me ye bu hui
么也不说了	me ye bu shuo le
么也没干	me ye mei gan
么也没买	me ye mei mai
么也没说	me ye mei shuo
么也没有	me ye mei you
么也是	me ye shi
么也听不见	me ye ting bu jian
么也行	me ye xing
么也要	me ye yao
么也有	me ye you
么野	me ye
么一	me yi
么一啊	me yi a
么一把	me yi ba
么一般	me yi ban
么一点	me yi dian
么一定	me yi ding
么一会	me yi hui
么一来	me yi lai
么一么一	me yi me yi
么一起	me yi qi
么一套	me yi tao
么一套啊	me yi tao a
么以后	me yi hou
么以前	me yi qian
么以为	me yi wei
么意见	me yi jian
么意思啊	me yi si a
么意思得很	me yi si de hen
么意思的	me yi si de
么意思很	me yi si hen
么意思了	me yi si le
么意思里	me yi si li
么意思呢	me yi si ne
么意思撒	me yi si sa
么意思是	me yi si shi
么意义	me yi yi
么衣服	me yi fu
么印象	me yin xiang
么因	me yin
么音	me yin
么应该	me ying gai
么营养	me ying yang
么哟	me yo
么勇气	me yong qi
么用的	me yong de
么佑	me you
么又	me you
么有吧	me you ba
么有的	me you de
么有滴	me you di
么有回来	me you hui lai
么有里	me you li
么有么	me you me
么有密码	me you mi ma
么有呢	me you ne
么有你	me you ni
么有骗你	me you pian ni
么有钱途	me you qian tu
么有撒	me you sa
么有色差	me you se cha
么有啥	me you sha
么有上网	me you shang wang
么有什么	me you shen me
么有心情啊	me you xin qing a
么有兴趣	me you xing qu
么有呀	me you ya
么有一点	me you yi dian
么有一个	me you yi ge
么有再便宜的了	me you zai pian yi de le
么有这样	me you zhe yang
么有追究	me you zhui jiu
么有自信	me you zi xin
么柚	me you
么游	me you
么游戏	me you xi
么玉	me yu
么遇到	me yu dao
么原因	me yuan yin
么缘分	me yuan fen
么院子	me yuan zi
么约	me yue
么云	me yun
么咋	me za
么咋办	me za ban
么咋个	me za ge
么咋个办	me za ge ban
么咋个会	me za ge hui
么咋个整	me za ge zheng
么咋会	me za hui
么咋说	me za shuo
么咋呀	me za ya
么咋整	me za zheng
么再看	me zai kan
么在	me zai
么在家	me zai jia
么在线	me zai xian
么在一个学校	me zai yi ge xue xiao
么在一起	me zai yi qi
么赞	me zan
么早	me zao
么早点	me zao dian
么早点睡	me zao dian shui
么早儿	me zao er
么咋么咋	me ze me za
么怎	me zen
么怎么	me zen me
么怎么办	me zen me ban
么咤	me zha
么扎	me zha
么寨	me zhai
么站	me zhan
么站上	me zhan shang
么站镇	me zhan zhen
么张	me zhang
么找	me zhao
么找到	me zhao dao
么着	me zhe
么着了	me zhe le
么这个	me zhe ge
么这哈	me zhe ha
么这样	me zhe yang
么这样撒	me zhe yang sa
么这样说	me zhe yang shuo
么这种	me zhe zhong
么正杰	me zheng jie
么之	me zhi
么值了	me zhi le
么只有	me zhi you
么指示	me zhi shi
么治	me zhi
么直	me zhi
么知	me zhi
么芝芝	me zhi zhi
么中午	me zhong wu
么种	me zhong
么注意	me zhu yi
么抓	me zhua
么专业	me zhuan ye
么转	me zhuan
么庄	me zhuang
么状况	me zhuang kuang
么装	me zhuang
么装备	me zhuang bei
么准	me zhun
么准备	me zhun bei
么卓	me zhuo
么子	me zi
么子啊	me zi a
么子班	me zi ban
么子菜	me zi cai
么子车	me zi che
么子的	me zi de
么子地方	me zi di fang
么子咯	me zi ge
么子鬼	me zi gui
么子价	me zi jia
么子家伙	me zi jia huo
么子叫	me zi jiao
么子啦	me zi la
么子喽	me zi lou
么子陋经	me zi lou jing
么子路	me zi lu
么子囖	me zi luo
么子么子	me zi me zi
么子哦	me zi o
么子牌子	me zi pai zi
么子钱	me zi qian
么子事	me zi shi
么子事情	me zi shi qing
么子时候	me zi shi hou
么子味	me zi wei
么子样	me zi yang
么子样子	me zi yang zi
么子意思	me zi yi si
么自己	me zi ji
么自信	me zi xin
么资	me zi
么总是	me zong shi
么走	me zou
么走嘛	me zou ma
么租	me zu
么组撒	me zu sa
么佐	me zuo
么做	me zuo
么做的	me zuo de
么做过	me zuo guo
么做好	me zuo hao
么做里	me zuo li
嚒人疼	me ren teng
嚒斯	me si
嚒也	me ye
嚜杘	me chi
嚜嚜	me me
嚰叽	me ji
堳埒	mei lie
堳坞	mei wu
塺塺	mei mei
妹阿妹	mei a mei
妹板	mei ban
妹邦	mei bang
妹辈素所深知	mei bei su suo shen zhi
妹辈亦各题一匾一诗	mei bei yi ge ti yi bian yi shi
